Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.695512
C=C(C)OC,Frag_2,-231.869409
C=CC,Frag_3,-117.584435
C1=CCCC1,Frag_4,-194.825826
C=C(C)C#N,Frag_5,-209.652230
c1cc[nH]c1,Frag_6,-209.687672
C=C(C)N,Frag_7,-172.827859
C=CN,Frag_8,-133.613231
C=C(C)C(=C)C,Frag_9,-234.012511
c1ccncc1,Frag_10,-247.716043
C=C(C)C(=O)O,Frag_11,-305.810939
C=C(C)C(N)=O,Frag_12,-285.958958
C=C(C)C(C)=O,Frag_13,-269.907560
CC(=O)C(C)=O,Frag_14,-305.801248
CC(C)=O,Frag_15,-192.696087
C1CCCC1,Frag_16,-196.027387
CC(C)C#N,Frag_17,-210.856970
CCC,Frag_18,-118.792691
C1CC1,Frag_19,-117.579543
C=C(C)C1CC1,Frag_20,-234.003105
C=C(C)NC,Frag_21,-212.025083
CNC,Frag_22,-134.799472
COC,Frag_23,-154.640508
C=C(C)CC,Frag_24,-196.003996
NC(N)[N+](=O)[O-],Frag_25,-354.983898
NC(N)N,Frag_26,-206.065871
C1NCNCN1,Frag_27,-283.293472
CN(C)[N+](=O)[O-],Frag_28,-338.934000
CC[N+](=O)[O-],Frag_29,-283.721310
CCCN,Frag_30,-174.017375
CCN,Frag_31,-134.809685
CC(C)[N+](=O)[O-],Frag_32,-322.933232
CO[N+](=O)[O-],Frag_33,-319.552226
CCON,Frag_34,-209.827707
CCCO,Frag_35,-193.865098
CON,Frag_36,-170.619346
CCO,Frag_37,-154.656657
CC(C)ON,Frag_38,-249.046085
c1ccoc1,Frag_39,-229.517749
C=C(O)[N+](=O)[O-],Frag_40,-357.603210
C=CO,Frag_41,-153.455345
C1NCNCNCN1,Frag_42,-377.719586
CCCC,Frag_43,-157.999249
CC(C)(C)[N+](=O)[O-],Frag_44,-362.145065
CCN(C)N,Frag_45,-229.212820
CN(C)N,Frag_46,-189.995620
NC[N+](=O)[O-],Frag_47,-299.746773
NCN,Frag_48,-150.831382
CC(C)(C)CO,Frag_49,-272.284656
CC(C)(C)C,Frag_50,-197.211627
C1CCNCC1,Frag_51,-251.257198
CN(C)N=O,Frag_52,-263.882297
C=C(C)O,Frag_53,-192.675519
C=C(C)[N+](=O)[O-],Frag_54,-321.725162
C=C(C)C,Frag_55,-156.798170
C[N+](=O)[O-],Frag_56,-244.508428
C=C(C)CN,Frag_57,-212.021552
C=C[N+](=O)[O-],Frag_58,-282.508104
CC(O)CO,Frag_59,-268.941973
CC(C)O,Frag_60,-193.870627
CC(N)[N+](=O)[O-],Frag_61,-338.960654
CCC(N)N,Frag_62,-229.253472
CC(N)N,Frag_63,-190.044707
C1CCNC1,Frag_64,-212.039603
CC(N)C(=O)O,Frag_65,-323.033225
COC(C)=O,Frag_66,-267.790950
CC(=O)O,Frag_67,-228.588554
C1CCC1,Frag_68,-156.789817
CC(C)C(=O)O,Frag_69,-307.013363
C1OCOCO1,Frag_70,-342.832812
CC(O)O,Frag_71,-229.745654
OCO,Frag_72,-190.533210
CC(C)=C(C)C,Frag_73,-235.216451
C/N=[N+](/C)[O-],Frag_74,-263.874253
C=C(C)N=N,Frag_75,-226.826615
C=C(C)[N+](=N)[O-],Frag_76,-301.868143
C[N+](=N)[O-],Frag_77,-224.654016
CN=N,Frag_78,-149.599380
CC(=O)N(C)C,Frag_79,-287.147463
CN(C)C,Frag_80,-174.003210
C=CCC,Frag_81,-156.791293
CC=C(C)C,Frag_82,-196.008728
C=NC,Frag_83,-133.602810
CC=N,Frag_84,-133.616634
C=CC(=C)C,Frag_85,-194.797264
C/C=C\C,Frag_86,-156.795874
C=CC=C,Frag_87,-155.589569
C/C(N)=C(\C)N,Frag_88,-267.272045
C=CC(=C)N,Frag_89,-210.830794
C/C=C(\C)N,Frag_90,-212.036124
C/C(O)=C(\C)O,Frag_91,-306.969214
C=CC(=C)O,Frag_92,-230.675349
C=C(N)C(=C)O,Frag_93,-285.917638
C/C=C(\C)O,Frag_94,-231.881103
C=C(N)O,Frag_95,-208.702621
CC(C)=C(C)N,Frag_96,-251.245703
COC(C)O,Frag_97,-268.945954
CN(N)CN,Frag_98,-245.227816
CC(C)C,Frag_99,-158.002014
CNC(C)C,Frag_100,-213.220123
CCNC,Frag_101,-174.010249
CCC(C)N,Frag_102,-213.229368
C/C=N\C,Frag_103,-172.814760
C=CN=C,Frag_104,-171.607747
C=C(C)C=N,Frag_105,-210.831729
C/C=C\N,Frag_106,-172.823688
C=C(N)OC,Frag_107,-247.898826
C=COC,Frag_108,-192.649375
C/C=C(/N)O,Frag_109,-247.914330
C/C=C\O,Frag_110,-192.669302
CC(C)N,Frag_111,-174.021297
C/C=C(/C)N,Frag_112,-212.038276
CCC(C)C,Frag_113,-197.208484
CC1CCC1,Frag_114,-196.001898
CN=[N+](C)[O-],Frag_115,-263.874253
C1CNC1,Frag_116,-172.801792
CC(C)(N)[N+](=O)[O-],Frag_117,-378.166244
CN(C)C=O,Frag_118,-247.934832
C1C2CC3CC2CC13,Frag_119,-311.257488
CNC(C)=O,Frag_120,-247.945078
CCC(N)=O,Frag_121,-247.955626
CC(N)=O,Frag_122,-208.746596
C=C(C)N(C)C,Frag_123,-251.225576
CC(=N)N,Frag_124,-188.872605
c1c[nH]cn1,Frag_125,-225.720289
C=C(N)[N+](=O)[O-],Frag_126,-337.755112
CCN(C)C,Frag_127,-213.211679
N=CN,Frag_128,-149.654533
N=C1NCCN1,Frag_129,-282.136579
C=N[N+](=O)[O-],Frag_130,-298.513474
C=N,Frag_131,-94.396885
CC(=O)NN,Frag_132,-263.937296
N=C(N)[N+](=O)[O-],Frag_133,-353.793829
c1cn[nH]c1,Frag_134,-225.703465
c1nnn[nH]1,Frag_135,-257.723501
CC(=N)N(C)N,Frag_136,-283.268442
CNN,Frag_137,-150.797098
C=C1NCCN1,Frag_138,-266.085910
CC(N)O,Frag_139,-209.897659
C12C3C4C1C1C2C3C41,Frag_140,-308.757395
c1nc[nH]n1,Frag_141,-241.738550
C=C(N)C#N,Frag_142,-225.678274
c1cnccn1,Frag_143,-263.733187
CC(=N)[N+](=O)[O-],Frag_144,-337.753144
C=C(N)N,Frag_145,-188.857886
C=C1CCCN1,Frag_146,-250.062712
C=C,Frag_147,-78.370456
C=NNC,Frag_148,-188.817189
CC(C)=NN,Frag_149,-228.043535
C=C(C)NN,Frag_150,-228.022727
C=NN,Frag_151,-149.613524
CC(C)(N)CO,Frag_152,-288.312676
CN(C)C(C)(C)C,Frag_153,-291.625166
[O-][n+]1ccccc1,Frag_154,-322.744038
C1=C\C=C/C=C\C=C/1,Frag_155,-308.846234
CC(C)C(=N)N,Frag_156,-267.287634
C1COC1,Frag_157,-192.647199
C=C(C)N(C)N,Frag_158,-267.223396
O=c1cccc[nH]1,Frag_159,-322.819932
COC(N)=O,Frag_160,-283.835101
CNC(=O)O,Frag_161,-283.831497
NC(=O)O,Frag_162,-244.642868
c1ccc2c(c1)CN2,Frag_163,-324.913905
CNC(=N)N,Frag_164,-244.105036
N=C1NCNCN1,Frag_165,-337.364628
C=C(C)C(C)=N,Frag_166,-250.045740
O=[N+]([O-])C1CC1,Frag_167,-321.721039
C/C=C/N,Frag_168,-172.823757
C=CN(C)C,Frag_169,-212.016023
C1Cn2nnnc2N1,Frag_170,-390.186190
N=C1CCCC1,Frag_171,-250.070634
C=NO,Frag_172,-169.436293
N=c1cccc[nH]1,Frag_173,-302.945686
CN(C)O,Frag_174,-209.831095
CN[N+](=O)[O-],Frag_175,-299.730424
CC(=N)NN,Frag_176,-244.067026
C1CN1,Frag_177,-133.589456
C=C(C)C1CN1,Frag_178,-250.014583
OCC1CN1,Frag_179,-247.874882
CC(C)=N,Frag_180,-172.832928
c1cn2c(n1)OCC2,Frag_181,-378.021848
NN=C(N)N,Frag_182,-260.108831
CN(N)C(=N)N,Frag_183,-299.311523
N=C(N)N,Frag_184,-204.907469
c1cn[nH]n1,Frag_185,-241.719112
NN(N)N,Frag_186,-222.003121
NNN,Frag_187,-166.797617
CC(=O)N=N,Frag_188,-262.718198
CN=[N+]=[N-],Frag_189,-203.652103
C=C1C=CC=CC1=O,Frag_190,-344.764609
C=CNC,Frag_191,-172.813005
CN(N)[N+](=O)[O-],Frag_192,-354.928063
O=C1NCCN1,Frag_193,-302.017427
C1=CC2CC1C1CC21,Frag_194,-310.039882
N#CC1(N)CC1,Frag_195,-264.879194
CC1([N+](=O)[O-])CC1,Frag_196,-360.935449
NC1CC1,Frag_197,-172.807099
CC1CC1,Frag_198,-156.790922
C1CC12CC2,Frag_199,-194.780326
C/N=N/N,Frag_200,-204.839159
CN(C)N=N,Frag_201,-244.042166
N=NN,Frag_202,-165.633068
CNC(C)=N,Frag_203,-228.069007
CN(N)C#N,Frag_204,-242.856730
CCOC,Frag_205,-193.851478
CC(N)CO,Frag_206,-249.094125
C/C(N)=C\N,Frag_207,-228.056830
NCCN,Frag_208,-190.033322
c1ncon1,Frag_209,-261.549362
c1cnon1,Frag_210,-261.507521
CC(=N)C(=N)N,Frag_211,-282.117458
N=C(N)O,Frag_212,-224.747536
N=CO,Frag_213,-169.500772
C=C(N)NN,Frag_214,-244.053537
O=c1cc[nH][nH]1,Frag_215,-300.782758
C1CNCNC1,Frag_216,-267.273315
C1CCNCNC1,Frag_217,-306.477088
C=C1NCCCCN1,Frag_218,-344.504538
NCC(=O)O,Frag_219,-283.824919
O=c1cc[nH]c(=O)[nH]1,Frag_220,-413.975395
CCC#N,Frag_221,-171.648596
CC(N)C(C)O,Frag_222,-288.307269
C=C(C)C(C)O,Frag_223,-271.079544
CC(O)C(C)(C)N,Frag_224,-327.517128
CC(C)(C)N,Frag_225,-213.232676
[O-][n+]1ccno1,Frag_226,-336.534769
N=C1NCCCCN1,Frag_227,-360.547485
NCCO,Frag_228,-209.882940
O=[N+]1C=CC(=[N+]([O-])[O-])C=C1,Frag_229,-526.881530
C1CNCN1,Frag_230,-228.054986
N=c1[nH]cn[nH]1,Frag_231,-296.965609
N=NC(=N)N,Frag_232,-258.892507
C/C=N/O,Frag_233,-208.660166
C=C(C)CO,Frag_234,-231.867321
C/C=[N+](/C)[O-],Frag_235,-247.857262
C1COCOC1,Frag_236,-306.956463
CC(C)(N)N=O,Frag_237,-303.084753
CC(C)(O)O,Frag_238,-268.962076
C#CCN,Frag_239,-171.577297
C=CN(C)N,Frag_240,-228.013316
C/C=N/N,Frag_241,-188.829386
CC(C)(C)ON,Frag_242,-288.258082
CCC(C)(C)O,Frag_243,-272.289908
C1=NOCC1,Frag_244,-246.680380
CC(C)(O)[N+](=O)[O-],Frag_245,-398.022299
CC(N)(O)C#N,Frag_246,-301.958742
CC(=N)C#N,Frag_247,-225.678163
O=c1[nH]cn[nH]1,Frag_248,-316.848229
CNC=O,Frag_249,-208.731538
c1c[nH]nn1,Frag_250,-241.710925
C1CCOC1,Frag_251,-231.886522
CC(C)CN,Frag_252,-213.226998
c1nn[nH]n1,Frag_253,-257.729007
NCN(N)N,Frag_254,-261.230192
c1cnoc1,Frag_255,-245.512814
CC(=N)C(=O)O,Frag_256,-321.845729
C/C=N\O,Frag_257,-208.659574
C=C(O)C=N,Frag_258,-246.704432
N=C(N)CO,Frag_259,-263.944855
CC(=O)C=N,Frag_260,-246.723265
CC=[N+]=[N-],Frag_261,-187.629708
C1=CC1,Frag_262,-116.331921
C=C(C)C1=CC1,Frag_263,-232.768180
CC1([N+](=O)[O-])C=C1,Frag_264,-359.693546
N#CC1(N)C=C1,Frag_265,-263.634466
CC1C=C1,Frag_266,-155.544079
NC1C=C1,Frag_267,-171.565949
CN(N)N,Frag_268,-206.005186
O=C1CNC(=O)CN1,Frag_269,-415.137291
CC1(C)CC1,Frag_270,-196.002643
NC(=O)C1(N)CC1,Frag_271,-341.188492
CC(O)CN,Frag_272,-249.095480
CN(C)C=N,Frag_273,-228.056709
C/N=C/N,Frag_274,-188.859591
C=NC(=C)C,Frag_275,-210.822588
NNC(N)=O,Frag_276,-279.977270
CC(=O)CN,Frag_277,-247.919893
C1NCC2CC12,Frag_278,-250.045891
CC(C)C(C)N,Frag_279,-252.436428
CC(=O)NO,Frag_280,-283.769222
CN=C=O,Frag_281,-207.544805
C/C(N)=N/O,Frag_282,-263.912667
C=C(C)C(=N)N,Frag_283,-266.085310
[O-][n+]1ccn[nH]1,Frag_284,-316.734014
C1CNCCN1,Frag_285,-267.257955
C=C(N)C(=N)N,Frag_286,-282.117129
CC(N)C(C)N,Frag_287,-268.458896
C=CC(=N)N,Frag_288,-226.872398
CC(C)(N)C#N,Frag_289,-266.087189
CC(C)C(C)(C)N,Frag_290,-291.644463
CC(C)C(C)C,Frag_291,-236.414903
CC(N)C(C)(C)C,Frag_292,-291.643649
C=C(C)C(C)(C)N,Frag_293,-290.440922
C=CC(C)(C)N,Frag_294,-251.229817
CC(C)(C)C(C)(C)C,Frag_295,-314.824936
CC(C)(C)C(C)(C)N,Frag_296,-330.849540
CC(C)(N)C(N)=O,Frag_297,-342.395393
CCC(C)(C)N,Frag_298,-252.439316
CC(N)(N)CN,Frag_299,-284.487488
CC(C)(N)N,Frag_300,-229.257769
C/N=C(\C)N,Frag_301,-228.070882
C=C(N)N(C)C,Frag_302,-267.256580
CC(=N)N(C)C,Frag_303,-267.268732
NC=C(N)N,Frag_304,-244.090513
C/N=C(/C)N,Frag_305,-228.072784
C/C(N)=C(\C)O,Frag_306,-287.126048
C=NC(=C)N,Frag_307,-226.853306
CN=C(N)N,Frag_308,-244.107670
C=C(C)C(=C)N,Frag_309,-250.041797
C/C(N)=N\N,Frag_310,-244.073258
CN(N)C=N,Frag_311,-244.057107
N/N=N\N,Frag_312,-220.846994
N/C=N\N,Frag_313,-204.861276
C=NN=N,Frag_314,-203.619963
C=CNN,Frag_315,-188.813744
CNC(C)O,Frag_316,-249.089244
NC(O)C(N)O,Frag_317,-340.211539
C=C(N)NC,Frag_318,-228.058219
NC(N)=C(N)N,Frag_319,-299.330047
N=CNN,Frag_320,-204.857921
C/N=C\N,Frag_321,-188.855510
C=NC(=N)N,Frag_322,-242.899402
CC(N)=C(N)N,Frag_323,-283.299087
N=C(N)C(=N)N,Frag_324,-298.159390
C=C(N)C(=C)N,Frag_325,-266.073055
C=NN(C)C,Frag_326,-228.020416
C=C(N)C=N,Frag_327,-226.857011
C/C=N\N,Frag_328,-188.828040
C=C(N)CC,Frag_329,-212.034272
CC(C)(N)CN,Frag_330,-268.457557
C/C=[N+](\C)[O-],Frag_331,-247.848999
C=C[N+](=C)[O-],Frag_332,-246.640224
CC(C)=CN,Frag_333,-212.035291
C=[N+](C)[O-],Frag_334,-208.638412
C=C(C)C(=C)O,Frag_335,-269.887127
C=CC(N)=O,Frag_336,-246.743879
C/C(N)=C(/C)N,Frag_337,-267.267608
N=C(N)NN,Frag_338,-260.106215
CNCN,Frag_339,-190.032107
C=CC(C)=N,Frag_340,-210.831835
C=C(C)[N+](=C)[O-],Frag_341,-285.852069
C=CC=N,Frag_342,-171.615435
C=C(O)N(C)C,Frag_343,-287.105506
NC(N)=C(N)O,Frag_344,-319.171025
CC(=N)C(C)(N)N,Frag_345,-322.506645
CCC(C)(N)N,Frag_346,-268.465041
CC(C)=NO,Frag_347,-247.867201
CCC(C)=N,Frag_348,-212.038669
CNC=N,Frag_349,-188.854276
CC(=N)N(C)O,Frag_350,-303.095822
C=CN(C)O,Frag_351,-247.841192
C/C(N)=[N+](\C)[O-],Frag_352,-303.101129
C=C(C)C(C)N,Frag_353,-251.231872
C=C(N)C(C)=N,Frag_354,-266.073374
C/N=C(\N)O,Frag_355,-263.961639
COC(=N)N,Frag_356,-263.952918
CN(C)C(=N)O,Frag_357,-303.154317
C=C(N)C(N)=O,Frag_358,-301.989515
C=NN(N)N,Frag_359,-260.024997
C=CC(C)=O,Frag_360,-230.695898
C=CN(N)N,Frag_361,-244.018647
C=NN(C)N,Frag_362,-244.022413
CN(N)C(N)=O,Frag_363,-319.188417
NC(N)=O,Frag_364,-224.787981
C=CC(C)C,Frag_365,-195.999600
CCC(C)(C)C,Frag_366,-236.416538
CC(C)N(C)C,Frag_367,-252.419508
C=NC(C)=N,Frag_368,-226.860828
C=NOC,Frag_369,-208.631500
C/N=C(/N)O,Frag_370,-263.953977
N=C(N)ON,Frag_371,-279.930480
C=NON,Frag_372,-224.620623
C/C(N)=N\O,Frag_373,-263.906823
NON,Frag_374,-186.598108
C=C(N)N(C)N,Frag_375,-283.254913
CNNC,Frag_376,-189.992833
CNC(N)=O,Frag_377,-263.988966
CN(C)C(N)=O,Frag_378,-303.188738
CC(C)=[N+]([O-])O,Frag_379,-322.913870
C=[N+]([O-])ON,Frag_380,-299.655283
C=[N+]([O-])O,Frag_381,-244.483375
C=NNN,Frag_382,-204.817010
C/C(N)=C(\N)O,Frag_383,-303.146563
C=C(O)NC,Frag_384,-247.903006
CC(N)(N)CO,Frag_385,-304.337586
COC(C)(C)O,Frag_386,-308.154726
CC(C)(O)CN,Frag_387,-288.309928
CC(C)(C)O,Frag_388,-233.083605
CC(C)(N)ON,Frag_389,-304.283033
CC(C)(C)C(C)(N)O,Frag_390,-366.733088
CC(=N)C(C)(C)C,Frag_391,-290.455202
CC(C)(N)O,Frag_392,-249.112191
CNN=N,Frag_393,-204.827045
C=C(N)N=N,Frag_394,-242.846950
C/N=N\N,Frag_395,-204.827136
CC(C)CO,Frag_396,-233.074856
CN(N)N=N,Frag_397,-260.024075
C=C(N)ON,Frag_398,-263.874289
C/C=C(/C)O,Frag_399,-231.886208
C=NC(=C)O,Frag_400,-246.700396
CC(C)=[N+](C)[O-],Frag_401,-287.066372
N=C(N)N(N)N,Frag_402,-315.316726
CC(=O)N(C)N,Frag_403,-303.148952
NCC(N)=O,Frag_404,-263.976566
CN(C)C(=N)N,Frag_405,-283.305700
N/C=C\N,Frag_406,-188.846306
CC(N)C(C)(C)N,Frag_407,-307.668529
CC(O)C(C)(N)N,Frag_408,-343.550662
CC(O)C(O)O,Frag_409,-344.033794
CN(C)CN,Frag_410,-229.233990
C/C(N)=[N+](\N)[O-],Frag_411,-319.110557
C=[N+]([O-])N(C)N,Frag_412,-319.051994
C=[N+](N)[O-],Frag_413,-224.645112
CC(N)CN,Frag_414,-229.248822
C=C(C)C(C)C,Frag_415,-235.211561
