Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.698629
C=C(C)OC,Frag_2,-231.873486
C=CC,Frag_3,-117.585995
C1=CCCC1,Frag_4,-194.829674
C=C(C)C#N,Frag_5,-209.654861
c1cc[nH]c1,Frag_6,-209.689793
C=C(C)N,Frag_7,-172.830614
C=CN,Frag_8,-133.614472
C=C(C)C(=C)C,Frag_9,-234.018464
c1ccncc1,Frag_10,-247.718801
C=C(C)C(=O)O,Frag_11,-305.815078
C=C(C)C(N)=O,Frag_12,-285.963591
C=C(C)C(C)=O,Frag_13,-269.912744
CC(=O)C(C)=O,Frag_14,-305.805570
CC(C)=O,Frag_15,-192.698679
C1CCCC1,Frag_16,-196.032545
CC(C)C#N,Frag_17,-210.860814
CCC,Frag_18,-118.795194
C1CC1,Frag_19,-117.581069
C=C(C)C1CC1,Frag_20,-234.008841
C=C(C)NC,Frag_21,-212.029529
CNC,Frag_22,-134.801464
COC,Frag_23,-154.642388
C=C(C)CC,Frag_24,-196.009070
NC(N)[N+](=O)[O-],Frag_25,-354.987972
NC(N)N,Frag_26,-206.068859
C1NCNCN1,Frag_27,-283.299349
CN(C)[N+](=O)[O-],Frag_28,-338.938175
CC[N+](=O)[O-],Frag_29,-283.724353
CCCN,Frag_30,-174.021383
CCN,Frag_31,-134.811833
CC(C)[N+](=O)[O-],Frag_32,-322.938490
CO[N+](=O)[O-],Frag_33,-319.554142
CCON,Frag_34,-209.830908
CCCO,Frag_35,-193.868760
CON,Frag_36,-170.620760
CCO,Frag_37,-154.658576
CC(C)ON,Frag_38,-249.050986
c1ccoc1,Frag_39,-229.519576
C=C(O)[N+](=O)[O-],Frag_40,-357.605729
C=CO,Frag_41,-153.456369
C1NCNCNCN1,Frag_42,-377.729851
CCCC,Frag_43,-158.003567
CC(C)(C)[N+](=O)[O-],Frag_44,-362.153103
CCN(C)N,Frag_45,-229.217965
CN(C)N,Frag_46,-189.998900
NC[N+](=O)[O-],Frag_47,-299.749474
NCN,Frag_48,-150.833060
CC(C)(C)CO,Frag_49,-272.293399
CC(C)(C)C,Frag_50,-197.218703
C1CCNCC1,Frag_51,-251.264257
CN(C)N=O,Frag_52,-263.885549
C=C(C)O,Frag_53,-192.677964
C=C(C)[N+](=O)[O-],Frag_54,-321.728842
C=C(C)C,Frag_55,-156.801359
C[N+](=O)[O-],Frag_56,-244.509866
C=C(C)CN,Frag_57,-212.026320
C=C[N+](=O)[O-],Frag_58,-282.510049
CC(O)CO,Frag_59,-268.946775
CC(C)O,Frag_60,-193.874387
CC(N)[N+](=O)[O-],Frag_61,-338.965434
CCC(N)N,Frag_62,-229.258796
CC(N)N,Frag_63,-190.048193
C1CCNC1,Frag_64,-212.044154
CC(N)C(=O)O,Frag_65,-323.038142
COC(C)=O,Frag_66,-267.794192
CC(=O)O,Frag_67,-228.590343
C1CCC1,Frag_68,-156.793101
CC(C)C(=O)O,Frag_69,-307.019014
C1OCOCO1,Frag_70,-342.837175
CC(O)O,Frag_71,-229.748539
OCO,Frag_72,-190.534505
CC(C)=C(C)C,Frag_73,-235.223205
C/N=[N+](/C)[O-],Frag_74,-263.877254
C=C(C)N=N,Frag_75,-226.829620
C=C(C)[N+](=N)[O-],Frag_76,-301.872181
C[N+](=N)[O-],Frag_77,-224.655751
CN=N,Frag_78,-149.600271
CC(=O)N(C)C,Frag_79,-287.153022
CN(C)C,Frag_80,-174.007063
C=CCC,Frag_81,-156.794360
CC=C(C)C,Frag_82,-196.013398
C=NC,Frag_83,-133.603979
CC=N,Frag_84,-133.617825
C=CC(=C)C,Frag_85,-194.801166
C/C=C\C,Frag_86,-156.798813
C=CC=C,Frag_87,-155.591694
C/C(N)=C(\C)N,Frag_88,-267.278156
C=CC(=C)N,Frag_89,-210.834270
C/C=C(\C)N,Frag_90,-212.040341
C/C(O)=C(\C)O,Frag_91,-306.974061
C=CC(=C)O,Frag_92,-230.678477
C=C(N)C(=C)O,Frag_93,-285.922137
C/C=C(\C)O,Frag_94,-231.885014
C=C(N)O,Frag_95,-208.704685
CC(C)=C(C)N,Frag_96,-251.251996
COC(C)O,Frag_97,-268.950499
CN(N)CN,Frag_98,-245.232330
CC(C)C,Frag_99,-158.006558
CNC(C)C,Frag_100,-213.225931
CCNC,Frag_101,-174.013700
CCC(C)N,Frag_102,-213.235302
C/C=N\C,Frag_103,-172.818215
C=CN=C,Frag_104,-171.609624
C=C(C)C=N,Frag_105,-210.835408
C/C=C\N,Frag_106,-172.826347
C=C(N)OC,Frag_107,-247.902473
C=COC,Frag_108,-192.651645
C/C=C(/N)O,Frag_109,-247.917796
C/C=C\O,Frag_110,-192.671704
CC(C)N,Frag_111,-174.025367
C/C=C(/C)N,Frag_112,-212.042555
CCC(C)C,Frag_113,-197.214964
CC1CCC1,Frag_114,-196.007032
CN=[N+](C)[O-],Frag_115,-263.877254
