Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.939075
C=C(C)OC,Frag_2,-232.127331
C=CC,Frag_3,-117.711628
C1=CCCC1,Frag_4,-195.031534
C=C(C)C#N,Frag_5,-209.883228
c1cc[nH]c1,Frag_6,-209.912012
C=C(C)N,Frag_7,-173.018470
C=CN,Frag_8,-133.762834
C=C(C)C(=C)C,Frag_9,-234.262052
c1ccncc1,Frag_10,-247.981381
C=C(C)C(=O)O,Frag_11,-306.155660
C=C(C)C(N)=O,Frag_12,-286.277225
C=C(C)C(C)=O,Frag_13,-270.204001
CC(=O)C(C)=O,Frag_14,-306.145805
CC(C)=O,Frag_15,-192.912921
C1CCCC1,Frag_16,-196.233058
CC(C)C#N,Frag_17,-211.088479
CCC,Frag_18,-118.919607
C1CC1,Frag_19,-117.704559
C=C(C)C1CC1,Frag_20,-234.249980
C=C(C)NC,Frag_21,-212.254565
CNC,Frag_22,-134.948909
COC,Frag_23,-154.817953
C=C(C)CC,Frag_24,-196.212669
NC(N)[N+](=O)[O-],Frag_25,-355.397782
NC(N)N,Frag_26,-206.304244
C1NCNCN1,Frag_27,-283.604604
CN(C)[N+](=O)[O-],Frag_28,-339.321719
CC[N+](=O)[O-],Frag_29,-284.050004
CCCN,Frag_30,-174.208458
CCN,Frag_31,-134.960523
CC(C)[N+](=O)[O-],Frag_32,-323.302391
CO[N+](=O)[O-],Frag_33,-319.930589
CCON,Frag_34,-210.070043
CCCO,Frag_35,-194.083762
CON,Frag_36,-170.820829
CCO,Frag_37,-154.835545
CC(C)ON,Frag_38,-249.328280
c1ccoc1,Frag_39,-229.770583
C=C(O)[N+](=O)[O-],Frag_40,-358.020153
C=CO,Frag_41,-153.633037
C1NCNCNCN1,Frag_42,-378.130603
CCCC,Frag_43,-158.166702
CC(C)(C)[N+](=O)[O-],Frag_44,-362.553524
CCN(C)N,Frag_45,-229.465406
CN(C)N,Frag_46,-190.209396
NC[N+](=O)[O-],Frag_47,-300.098025
NCN,Frag_48,-151.006021
CC(C)(C)CO,Frag_49,-272.584200
CC(C)(C)C,Frag_50,-197.420247
C1CCNCC1,Frag_51,-251.524038
CN(C)N=O,Frag_52,-264.181160
C=C(C)O,Frag_53,-192.893349
C=C(C)[N+](=O)[O-],Frag_54,-322.093605
C=C(C)C,Frag_55,-156.966201
C[N+](=O)[O-],Frag_56,-244.797598
C=C(C)CN,Frag_57,-212.253813
C=C[N+](=O)[O-],Frag_58,-282.837072
CC(O)CO,Frag_59,-269.252642
CC(C)O,Frag_60,-194.089753
CC(N)[N+](=O)[O-],Frag_61,-339.351897
CCC(N)N,Frag_62,-229.508311
CC(N)N,Frag_63,-190.260048
C1CCNC1,Frag_64,-212.268412
CC(N)C(=O)O,Frag_65,-323.402116
COC(C)=O,Frag_66,-268.096616
CC(=O)O,Frag_67,-228.855116
C1CCC1,Frag_68,-156.954682
CC(C)C(=O)O,Frag_69,-307.359235
C1OCOCO1,Frag_70,-343.228479
CC(O)O,Frag_71,-230.015305
OCO,Frag_72,-190.762892
CC(C)=C(C)C,Frag_73,-235.465016
C/N=[N+](/C)[O-],Frag_74,-264.175335
C=C(C)N=N,Frag_75,-227.079686
C=C(C)[N+](=N)[O-],Frag_76,-302.211693
C[N+](=N)[O-],Frag_77,-224.917568
CN=N,Frag_78,-149.772373
CC(=O)N(C)C,Frag_79,-287.464021
CN(C)C,Frag_80,-174.192264
C=CCC,Frag_81,-156.959396
CC=C(C)C,Frag_82,-196.216792
C=NC,Frag_83,-133.751975
CC=N,Frag_84,-133.766591
C=CC(=C)C,Frag_85,-195.005939
C/C=C\C,Frag_86,-156.963177
C=CC=C,Frag_87,-155.757514
C/C(N)=C(\C)N,Frag_88,-267.566327
C=CC(=C)N,Frag_89,-211.061675
C/C=C(\C)N,Frag_90,-212.266645
C/C(O)=C(\C)O,Frag_91,-307.317467
C=CC(=C)O,Frag_92,-230.933966
C=C(N)C(=C)O,Frag_93,-286.237619
C/C=C(\C)O,Frag_94,-232.139501
C=C(N)O,Frag_95,-208.943101
CC(C)=C(C)N,Frag_96,-251.516811
COC(C)O,Frag_97,-269.254079
CN(N)CN,Frag_98,-245.504858
CC(C)C,Frag_99,-158.169858
CNC(C)C,Frag_100,-213.450469
CCNC,Frag_101,-174.200414
CCC(C)N,Frag_102,-213.460734
C/C=N\C,Frag_103,-173.004938
C=CN=C,Frag_104,-171.797080
C=C(C)C=N,Frag_105,-211.063165
C/C=C\N,Frag_106,-173.013665
C=C(N)OC,Frag_107,-248.178844
C=COC,Frag_108,-192.867021
C/C=C(/N)O,Frag_109,-248.194027
C/C=C\O,Frag_110,-192.886518
CC(C)N,Frag_111,-174.212817
C/C=C(/C)N,Frag_112,-212.269158
CCC(C)C,Frag_113,-197.416862
CC1CCC1,Frag_114,-196.207053
CN=[N+](C)[O-],Frag_115,-264.175335
C1CNC1,Frag_116,-172.989877
CC(C)(N)[N+](=O)[O-],Frag_117,-378.597840
CN(C)C=O,Frag_118,-248.210638
C1C2CC3CC2CC13,Frag_119,-311.579411
CNC(C)=O,Frag_120,-248.222476
CCC(N)=O,Frag_121,-248.233632
CC(N)=O,Frag_122,-208.985162
