Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.942173
C=C(C)OC,Frag_2,-232.131402
C=CC,Frag_3,-117.713182
C1=CCCC1,Frag_4,-195.035372
C=C(C)C#N,Frag_5,-209.885854
c1cc[nH]c1,Frag_6,-209.914123
C=C(C)N,Frag_7,-173.021210
C=CN,Frag_8,-133.764063
C=C(C)C(=C)C,Frag_9,-234.267956
c1ccncc1,Frag_10,-247.984116
C=C(C)C(=O)O,Frag_11,-306.159782
C=C(C)C(N)=O,Frag_12,-286.281853
C=C(C)C(C)=O,Frag_13,-270.209188
CC(=O)C(C)=O,Frag_14,-306.150115
CC(C)=O,Frag_15,-192.915503
C1CCCC1,Frag_16,-196.238189
CC(C)C#N,Frag_17,-211.092328
CCC,Frag_18,-118.922089
C1CC1,Frag_19,-117.706068
C=C(C)C1CC1,Frag_20,-234.255710
C=C(C)NC,Frag_21,-212.259018
CNC,Frag_22,-134.950905
COC,Frag_23,-154.819820
C=C(C)CC,Frag_24,-196.217748
NC(N)[N+](=O)[O-],Frag_25,-355.401887
NC(N)N,Frag_26,-206.307240
C1NCNCN1,Frag_27,-283.610508
CN(C)[N+](=O)[O-],Frag_28,-339.325920
CC[N+](=O)[O-],Frag_29,-284.053052
CCCN,Frag_30,-174.212453
CCN,Frag_31,-134.962673
CC(C)[N+](=O)[O-],Frag_32,-323.307642
CO[N+](=O)[O-],Frag_33,-319.932501
CCON,Frag_34,-210.073235
CCCO,Frag_35,-194.087399
CON,Frag_36,-170.822240
CCO,Frag_37,-154.837455
CC(C)ON,Frag_38,-249.333181
c1ccoc1,Frag_39,-229.772397
C=C(O)[N+](=O)[O-],Frag_40,-358.022684
C=CO,Frag_41,-153.634061
C1NCNCNCN1,Frag_42,-378.140876
CCCC,Frag_43,-158.171017
CC(C)(C)[N+](=O)[O-],Frag_44,-362.561557
CCN(C)N,Frag_45,-229.470546
CN(C)N,Frag_46,-190.212675
NC[N+](=O)[O-],Frag_47,-300.100706
NCN,Frag_48,-151.007699
CC(C)(C)CO,Frag_49,-272.592918
CC(C)(C)C,Frag_50,-197.427512
C1CCNCC1,Frag_51,-251.531097
CN(C)N=O,Frag_52,-264.184408
C=C(C)O,Frag_53,-192.895793
C=C(C)[N+](=O)[O-],Frag_54,-322.097271
C=C(C)C,Frag_55,-156.969386
C[N+](=O)[O-],Frag_56,-244.799035
C=C(C)CN,Frag_57,-212.258569
C=C[N+](=O)[O-],Frag_58,-282.839004
CC(O)CO,Frag_59,-269.257421
CC(C)O,Frag_60,-194.093493
CC(N)[N+](=O)[O-],Frag_61,-339.356671
CCC(N)N,Frag_62,-229.513628
CC(N)N,Frag_63,-190.263535
C1CCNC1,Frag_64,-212.272966
CC(N)C(=O)O,Frag_65,-323.407038
COC(C)=O,Frag_66,-268.099851
CC(=O)O,Frag_67,-228.856901
C1CCC1,Frag_68,-156.957953
CC(C)C(=O)O,Frag_69,-307.364884
C1OCOCO1,Frag_70,-343.232818
CC(O)O,Frag_71,-230.018188
OCO,Frag_72,-190.764199
CC(C)=C(C)C,Frag_73,-235.471767
C/N=[N+](/C)[O-],Frag_74,-264.178328
C=C(C)N=N,Frag_75,-227.082687
C=C(C)[N+](=N)[O-],Frag_76,-302.215731
C[N+](=N)[O-],Frag_77,-224.919294
CN=N,Frag_78,-149.773251
CC(=O)N(C)C,Frag_79,-287.469594
CN(C)C,Frag_80,-174.196112
C=CCC,Frag_81,-156.962461
CC=C(C)C,Frag_82,-196.221464
C=NC,Frag_83,-133.753137
CC=N,Frag_84,-133.767772
C=CC(=C)C,Frag_85,-195.009840
C/C=C\C,Frag_86,-156.966116
C=CC=C,Frag_87,-155.759616
C/C(N)=C(\C)N,Frag_88,-267.572084
C=CC(=C)N,Frag_89,-211.065130
C/C=C(\C)N,Frag_90,-212.270860
C/C(O)=C(\C)O,Frag_91,-307.322320
C=CC(=C)O,Frag_92,-230.937074
C=C(N)C(=C)O,Frag_93,-286.242104
C/C=C(\C)O,Frag_94,-232.143412
C=C(N)O,Frag_95,-208.945164
CC(C)=C(C)N,Frag_96,-251.523109
COC(C)O,Frag_97,-269.258605
CN(N)CN,Frag_98,-245.509380
CC(C)C,Frag_99,-158.174402
CNC(C)C,Frag_100,-213.456283
CCNC,Frag_101,-174.203857
CCC(C)N,Frag_102,-213.466658
C/C=N\C,Frag_103,-173.007293
C=CN=C,Frag_104,-171.798948
C=C(C)C=N,Frag_105,-211.066850
C/C=C\N,Frag_106,-173.016336
C=C(N)OC,Frag_107,-248.182480
C=COC,Frag_108,-192.869268
C/C=C(/N)O,Frag_109,-248.197499
C/C=C\O,Frag_110,-192.888918
CC(C)N,Frag_111,-174.216881
C/C=C(/C)N,Frag_112,-212.273463
CCC(C)C,Frag_113,-197.423345
CC1CCC1,Frag_114,-196.212185
CN=[N+](C)[O-],Frag_115,-264.178327
