Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.843672
C=C(C)OC,Frag_2,-232.027131
C=CC,Frag_3,-117.656196
C1=CCCC1,Frag_4,-194.945023
C=C(C)C#N,Frag_5,-209.801438
c1cc[nH]c1,Frag_6,-209.825360
C=C(C)N,Frag_7,-172.940331
C=CN,Frag_8,-133.702050
C=C(C)C(=C)C,Frag_9,-234.161135
c1ccncc1,Frag_10,-247.885985
C=C(C)C(=O)O,Frag_11,-306.032564
C=C(C)C(N)=O,Frag_12,-286.161053
C=C(C)C(C)=O,Frag_13,-270.094314
CC(=O)C(C)=O,Frag_14,-306.025549
CC(C)=O,Frag_15,-192.830430
C1CCCC1,Frag_16,-196.143108
CC(C)C#N,Frag_17,-211.001238
CCC,Frag_18,-118.861040
C1CC1,Frag_19,-117.647991
C=C(C)C1CC1,Frag_20,-234.146862
C=C(C)NC,Frag_21,-212.161848
CNC,Frag_22,-134.886345
COC,Frag_23,-154.747494
C=C(C)CC,Frag_24,-196.123793
NC(N)[N+](=O)[O-],Frag_25,-355.269831
NC(N)N,Frag_26,-206.211378
C1NCNCN1,Frag_27,-283.488137
CN(C)[N+](=O)[O-],Frag_28,-339.203093
CC[N+](=O)[O-],Frag_29,-283.948205
CCCN,Frag_30,-174.127894
CCN,Frag_31,-134.896579
CC(C)[N+](=O)[O-],Frag_32,-323.184094
CO[N+](=O)[O-],Frag_33,-319.823573
CCON,Frag_34,-209.981689
CCCO,Frag_35,-193.993780
CON,Frag_36,-170.748575
CCO,Frag_37,-154.761935
CC(C)ON,Frag_38,-249.222827
c1ccoc1,Frag_39,-229.679192
C=C(O)[N+](=O)[O-],Frag_40,-357.896918
C=CO,Frag_41,-153.563741
C1NCNCNCN1,Frag_42,-377.978406
CCCC,Frag_43,-158.091348
CC(C)(C)[N+](=O)[O-],Frag_44,-362.420549
CCN(C)N,Frag_45,-229.366940
CN(C)N,Frag_46,-190.128129
NC[N+](=O)[O-],Frag_47,-299.991643
NCN,Frag_48,-150.935940
CC(C)(C)CO,Frag_49,-272.461968
CC(C)(C)C,Frag_50,-197.328543
C1CCNCC1,Frag_51,-251.414981
CN(C)N=O,Frag_52,-264.088484
C=C(C)O,Frag_53,-192.807438
C=C(C)[N+](=O)[O-],Frag_54,-321.980981
C=C(C)C,Frag_55,-156.893989
C[N+](=O)[O-],Frag_56,-244.711631
C=C(C)CN,Frag_57,-212.159855
C=C[N+](=O)[O-],Frag_58,-282.739845
CC(O)CO,Frag_59,-269.130156
CC(C)O,Frag_60,-193.999797
CC(N)[N+](=O)[O-],Frag_61,-339.229377
CCC(N)N,Frag_62,-229.404708
CC(N)N,Frag_63,-190.172819
C1CCNC1,Frag_64,-212.174999
CC(N)C(=O)O,Frag_65,-323.267628
COC(C)=O,Frag_66,-267.986379
CC(=O)O,Frag_67,-228.758889
C1CCC1,Frag_68,-156.883060
CC(C)C(=O)O,Frag_69,-307.230681
C1OCOCO1,Frag_70,-343.086822
CC(O)O,Frag_71,-229.910493
OCO,Frag_72,-190.674838
CC(C)=C(C)C,Frag_73,-235.361003
C/N=[N+](/C)[O-],Frag_74,-264.082065
C=C(C)N=N,Frag_75,-226.994569
C=C(C)[N+](=N)[O-],Frag_76,-302.105068
C[N+](=N)[O-],Frag_77,-224.838533
CN=N,Frag_78,-149.717581
CC(=O)N(C)C,Frag_79,-287.346685
CN(C)C,Frag_80,-174.114474
C=CCC,Frag_81,-156.886715
CC=C(C)C,Frag_82,-196.128522
C=NC,Frag_83,-133.696564
CC=N,Frag_84,-133.708989
C=CC(=C)C,Frag_85,-194.921133
C/C=C\C,Frag_86,-156.891299
C=CC=C,Frag_87,-155.689626
C/C(N)=C(\C)N,Frag_88,-267.451569
C=CC(=C)N,Frag_89,-210.971701
C/C=C(\C)N,Frag_90,-212.172937
C/C(O)=C(\C)O,Frag_91,-307.186349
C=CC(=C)O,Frag_92,-230.836012
C=C(N)C(=C)O,Frag_93,-286.118685
C/C=C(\C)O,Frag_94,-232.037405
C=C(N)O,Frag_95,-208.851555
CC(C)=C(C)N,Frag_96,-251.407214
COC(C)O,Frag_97,-269.136295
CN(N)CN,Frag_98,-245.399371
CC(C)C,Frag_99,-158.094387
CNC(C)C,Frag_100,-213.354668
CCNC,Frag_101,-174.120426
CCC(C)N,Frag_102,-213.363329
C/C=N\C,Frag_103,-172.933484
C=CN=C,Frag_104,-171.729112
C=C(C)C=N,Frag_105,-210.977258
C/C=C\N,Frag_106,-172.936477
C=C(N)OC,Frag_107,-248.071970
C=COC,Frag_108,-192.783396
C/C=C(/N)O,Frag_109,-248.085923
C/C=C\O,Frag_110,-192.801746
CC(C)N,Frag_111,-174.131854
C/C=C(/C)N,Frag_112,-212.174888
CCC(C)C,Frag_113,-197.324784
CC1CCC1,Frag_114,-196.118745
CN=[N+](C)[O-],Frag_115,-264.082065
