Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.860182
C=C(C)OC,Frag_2,-232.045934
C=CC,Frag_3,-117.661979
C1=CCCC1,Frag_4,-194.954502
C=C(C)C#N,Frag_5,-209.819027
c1cc[nH]c1,Frag_6,-209.847510
C=C(C)N,Frag_7,-172.957172
C=CN,Frag_8,-133.719069
C=C(C)C(=C)C,Frag_9,-234.170742
c1ccncc1,Frag_10,-247.907734
C=C(C)C(=O)O,Frag_11,-306.069170
C=C(C)C(N)=O,Frag_12,-286.192568
C=C(C)C(C)=O,Frag_13,-270.115442
CC(=O)C(C)=O,Frag_14,-306.059490
CC(C)=O,Frag_15,-192.848976
C1CCCC1,Frag_16,-196.148101
CC(C)C#N,Frag_17,-211.014528
CCC,Frag_18,-118.861209
C1CC1,Frag_19,-117.653488
C=C(C)C1CC1,Frag_20,-234.156963
C=C(C)NC,Frag_21,-212.176092
CNC,Frag_22,-134.895929
COC,Frag_23,-154.762528
C=C(C)CC,Frag_24,-196.129279
NC(N)[N+](=O)[O-],Frag_25,-355.329899
NC(N)N,Frag_26,-206.246118
C1NCNCN1,Frag_27,-283.516791
CN(C)[N+](=O)[O-],Frag_28,-339.248471
CC[N+](=O)[O-],Frag_29,-283.988733
CCCN,Frag_30,-174.139158
CCN,Frag_31,-134.908189
CC(C)[N+](=O)[O-],Frag_32,-323.223805
CO[N+](=O)[O-],Frag_33,-319.875855
CCON,Frag_34,-210.006985
CCCO,Frag_35,-194.012900
CON,Frag_36,-170.774690
CCO,Frag_37,-154.781747
CC(C)ON,Frag_38,-249.247983
c1ccoc1,Frag_39,-229.704324
C=C(O)[N+](=O)[O-],Frag_40,-357.956029
C=CO,Frag_41,-153.588048
C1NCNCNCN1,Frag_42,-378.014324
CCCC,Frag_43,-158.091578
CC(C)(C)[N+](=O)[O-],Frag_44,-362.458082
CCN(C)N,Frag_45,-229.385009
CN(C)N,Frag_46,-190.147168
NC[N+](=O)[O-],Frag_47,-300.042391
NCN,Frag_48,-150.959604
CC(C)(C)CO,Frag_49,-272.479349
CC(C)(C)C,Frag_50,-197.328272
C1CCNCC1,Frag_51,-251.426870
CN(C)N=O,Frag_52,-264.119075
C=C(C)O,Frag_53,-192.830330
C=C(C)[N+](=O)[O-],Frag_54,-322.024238
C=C(C)C,Frag_55,-156.899593
C[N+](=O)[O-],Frag_56,-244.753298
C=C(C)CN,Frag_57,-212.176296
C=C[N+](=O)[O-],Frag_58,-282.784612
CC(O)CO,Frag_59,-269.168842
CC(C)O,Frag_60,-194.018769
CC(N)[N+](=O)[O-],Frag_61,-339.278982
CCC(N)N,Frag_62,-229.427505
CC(N)N,Frag_63,-190.196105
C1CCNC1,Frag_64,-212.188824
CC(N)C(=O)O,Frag_65,-323.311848
COC(C)=O,Frag_66,-268.016659
CC(=O)O,Frag_67,-228.794178
C1CCC1,Frag_68,-156.888027
CC(C)C(=O)O,Frag_69,-307.263516
C1OCOCO1,Frag_70,-343.132295
CC(O)O,Frag_71,-229.947730
OCO,Frag_72,-190.712838
CC(C)=C(C)C,Frag_73,-235.365208
C/N=[N+](/C)[O-],Frag_74,-264.115088
C=C(C)N=N,Frag_75,-227.019018
C=C(C)[N+](=N)[O-],Frag_76,-302.144724
C[N+](=N)[O-],Frag_77,-224.875810
CN=N,Frag_78,-149.737390
CC(=O)N(C)C,Frag_79,-287.370167
CN(C)C,Frag_80,-174.122016
C=CCC,Frag_81,-156.892803
CC=C(C)C,Frag_82,-196.133460
C=NC,Frag_83,-133.708113
CC=N,Frag_84,-133.722857
C=CC(=C)C,Frag_85,-194.931537
C/C=C\C,Frag_86,-156.896614
C=CC=C,Frag_87,-155.700546
C/C(N)=C(\C)N,Frag_88,-267.477502
C=CC(=C)N,Frag_89,-210.993035
C/C=C(\C)N,Frag_90,-212.188683
C/C(O)=C(\C)O,Frag_91,-307.224789
C=CC(=C)O,Frag_92,-230.864160
C=C(N)C(=C)O,Frag_93,-286.155329
C/C=C(\C)O,Frag_94,-232.060056
C=C(N)O,Frag_95,-208.885078
CC(C)=C(C)N,Frag_96,-251.422442
COC(C)O,Frag_97,-269.167802
CN(N)CN,Frag_98,-245.430546
CC(C)C,Frag_99,-158.094625
CNC(C)C,Frag_100,-213.363486
CCNC,Frag_101,-174.130378
CCC(C)N,Frag_102,-213.374342
C/C=N\C,Frag_103,-172.944028
C=CN=C,Frag_104,-171.744982
C=C(C)C=N,Frag_105,-210.994623
C/C=C\N,Frag_106,-172.953099
C=C(N)OC,Frag_107,-248.101734
C=COC,Frag_108,-192.803372
C/C=C(/N)O,Frag_109,-248.118737
C/C=C\O,Frag_110,-192.824292
CC(C)N,Frag_111,-174.143422
C/C=C(/C)N,Frag_112,-212.191207
CCC(C)C,Frag_113,-197.324938
CC1CCC1,Frag_114,-196.123526
CN=[N+](C)[O-],Frag_115,-264.115086
C1CNC1,Frag_116,-172.928233
CC(C)(N)[N+](=O)[O-],Frag_117,-378.507466
CN(C)C=O,Frag_118,-248.134536
C1C2CC3CC2CC13,Frag_119,-311.456871
CNC(C)=O,Frag_120,-248.145895
CCC(N)=O,Frag_121,-248.156758
CC(N)=O,Frag_122,-208.925495
C=C(C)N(C)C,Frag_123,-251.399444
CC(=N)N,Frag_124,-189.029664
c1c[nH]cn1,Frag_125,-225.907103
C=C(N)[N+](=O)[O-],Frag_126,-338.081707
CCN(C)C,Frag_127,-213.354449
N=CN,Frag_128,-149.788389
N=C1NCCN1,Frag_129,-282.366732
C=N[N+](=O)[O-],Frag_130,-298.819539
C=N,Frag_131,-94.479399
CC(=O)NN,Frag_132,-264.167980
N=C(N)[N+](=O)[O-],Frag_133,-354.146046
c1cn[nH]c1,Frag_134,-225.892697
c1nnn[nH]1,Frag_135,-257.974713
CC(=N)N(C)N,Frag_136,-283.497443
CNN,Frag_137,-150.924554
C=C1NCCN1,Frag_138,-266.289080
CC(N)O,Frag_139,-210.074227
C12C3C4C1C1C2C3C41,Frag_140,-308.969300
c1nc[nH]n1,Frag_141,-241.954202
C=C(N)C#N,Frag_142,-225.872771
c1cnccn1,Frag_143,-263.952309
CC(=N)[N+](=O)[O-],Frag_144,-338.079558
C=C(N)N,Frag_145,-189.014516
C=C1CCCN1,Frag_146,-250.240626
C=C,Frag_147,-78.424432
C=NNC,Frag_148,-188.973721
CC(C)=NN,Frag_149,-228.225644
C=C(C)NN,Frag_150,-228.203177
C=NN,Frag_151,-149.748342
CC(C)(N)CO,Frag_152,-288.534360
CN(C)C(C)(C)C,Frag_153,-291.815210
[O-][n+]1ccccc1,Frag_154,-323.022790
C1=C\C=C/C=C\C=C/1,Frag_155,-309.070873
CC(C)C(=N)N,Frag_156,-267.491080
C1COC1,Frag_157,-192.799964
C=C(C)N(C)N,Frag_158,-267.426463
O=c1cccc[nH]1,Frag_159,-323.087524
COC(N)=O,Frag_160,-284.084693
CNC(=O)O,Frag_161,-284.083177
NC(=O)O,Frag_162,-244.870885
c1ccc2c(c1)CN2,Frag_163,-325.159452
CNC(=N)N,Frag_164,-244.309727
N=C1NCNCN1,Frag_165,-337.643934
C=C(C)C(C)=N,Frag_166,-250.231777
O=[N+]([O-])C1CC1,Frag_167,-322.016569
C/C=C/N,Frag_168,-172.952823
C=CN(C)C,Frag_169,-212.166129
C1Cn2nnnc2N1,Frag_170,-390.535114
N=C1CCCC1,Frag_171,-250.251394
C=NO,Frag_172,-169.601617
N=c1cccc[nH]1,Frag_173,-303.190429
CN(C)O,Frag_174,-210.009755
CN[N+](=O)[O-],Frag_175,-300.023604
CC(=N)NN,Frag_176,-244.274261
C1CN1,Frag_177,-133.694056
C=C(C)C1CN1,Frag_178,-250.198342
OCC1CN1,Frag_179,-248.082165
CC(C)=N,Frag_180,-172.962712
c1cn2c(n1)OCC2,Frag_181,-378.332196
NN=C(N)N,Frag_182,-260.345114
CN(N)C(=N)N,Frag_183,-299.565525
N=C(N)N,Frag_184,-205.090831
c1cn[nH]n1,Frag_185,-241.937487
NN(N)N,Frag_186,-222.213361
NNN,Frag_187,-166.956032
CC(=O)N=N,Frag_188,-262.960260
CN=[N+]=[N-],Frag_189,-203.846694
C=C1C=CC=CC1=O,Frag_190,-345.040552
C=CNC,Frag_191,-172.940408
CN(N)[N+](=O)[O-],Frag_192,-355.272092
O=C1NCCN1,Frag_193,-302.268494
C1=CC2CC1C1CC21,Frag_194,-310.247617
N#CC1(N)CC1,Frag_195,-265.092896
CC1([N+](=O)[O-])CC1,Frag_196,-361.253336
NC1CC1,Frag_197,-172.933805
CC1CC1,Frag_198,-156.888085
C1CC12CC2,Frag_199,-194.905890
C/N=N/N,Frag_200,-205.027440
CN(C)N=N,Frag_201,-244.251301
N=NN,Frag_202,-165.798596
CNC(C)=N,Frag_203,-228.247506
CN(N)C#N,Frag_204,-243.067087
CCOC,Frag_205,-193.996915
CC(N)CO,Frag_206,-249.294213
