Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.871044
C=C(C)OC,Frag_2,-232.054608
C=CC,Frag_3,-117.666751
C1=CCCC1,Frag_4,-194.964527
C=C(C)C#N,Frag_5,-209.826239
c1cc[nH]c1,Frag_6,-209.855141
C=C(C)N,Frag_7,-172.964200
C=CN,Frag_8,-133.723147
C=C(C)C(=C)C,Frag_9,-234.184161
c1ccncc1,Frag_10,-247.917590
C=C(C)C(=O)O,Frag_11,-306.078099
C=C(C)C(N)=O,Frag_12,-286.202769
C=C(C)C(C)=O,Frag_13,-270.126508
CC(=O)C(C)=O,Frag_14,-306.068181
CC(C)=O,Frag_15,-192.854855
C1CCCC1,Frag_16,-196.159645
CC(C)C#N,Frag_17,-211.023176
CCC,Frag_18,-118.867187
C1CC1,Frag_19,-117.658112
C=C(C)C1CC1,Frag_20,-234.169714
C=C(C)NC,Frag_21,-212.186218
CNC,Frag_22,-134.901107
COC,Frag_23,-154.766626
C=C(C)CC,Frag_24,-196.140360
NC(N)[N+](=O)[O-],Frag_25,-355.337761
NC(N)N,Frag_26,-206.252922
C1NCNCN1,Frag_27,-283.529484
CN(C)[N+](=O)[O-],Frag_28,-339.257042
CC[N+](=O)[O-],Frag_29,-283.994952
CCCN,Frag_30,-174.147498
CCN,Frag_31,-134.913462
CC(C)[N+](=O)[O-],Frag_32,-323.233430
CO[N+](=O)[O-],Frag_33,-319.880139
CCON,Frag_34,-210.013297
CCCO,Frag_35,-194.020072
CON,Frag_36,-170.778043
CCO,Frag_37,-154.786041
CC(C)ON,Frag_38,-249.257109
c1ccoc1,Frag_39,-229.710729
C=C(O)[N+](=O)[O-],Frag_40,-357.962282
C=CO,Frag_41,-153.591206
C1NCNCNCN1,Frag_42,-378.033505
CCCC,Frag_43,-158.100661
CC(C)(C)[N+](=O)[O-],Frag_44,-362.471738
CCN(C)N,Frag_45,-229.395576
CN(C)N,Frag_46,-190.154687
NC[N+](=O)[O-],Frag_47,-300.047881
NCN,Frag_48,-150.964119
CC(C)(C)CO,Frag_49,-272.494213
CC(C)(C)C,Frag_50,-197.341569
C1CCNCC1,Frag_51,-251.441401
CN(C)N=O,Frag_52,-264.126316
C=C(C)O,Frag_53,-192.836241
C=C(C)[N+](=O)[O-],Frag_54,-322.032366
C=C(C)C,Frag_55,-156.907429
C[N+](=O)[O-],Frag_56,-244.756776
C=C(C)CN,Frag_57,-212.186607
C=C[N+](=O)[O-],Frag_58,-282.789635
CC(O)CO,Frag_59,-269.177202
CC(C)O,Frag_60,-194.026080
CC(N)[N+](=O)[O-],Frag_61,-339.287735
CCC(N)N,Frag_62,-229.438191
CC(N)N,Frag_63,-190.203718
C1CCNC1,Frag_64,-212.199415
CC(N)C(=O)O,Frag_65,-323.321356
COC(C)=O,Frag_66,-268.023193
CC(=O)O,Frag_67,-228.798419
C1CCC1,Frag_68,-156.895926
CC(C)C(=O)O,Frag_69,-307.273923
C1OCOCO1,Frag_70,-343.140689
CC(O)O,Frag_71,-229.953201
OCO,Frag_72,-190.715594
CC(C)=C(C)C,Frag_73,-235.379684
C/N=[N+](/C)[O-],Frag_74,-264.121969
C=C(C)N=N,Frag_75,-227.026849
C=C(C)[N+](=N)[O-],Frag_76,-302.154129
C[N+](=N)[O-],Frag_77,-224.880238
CN=N,Frag_78,-149.740763
CC(=O)N(C)C,Frag_79,-287.381573
CN(C)C,Frag_80,-174.130432
C=CCC,Frag_81,-156.900372
CC=C(C)C,Frag_82,-196.144249
C=NC,Frag_83,-133.712102
CC=N,Frag_84,-133.726869
C=CC(=C)C,Frag_85,-194.941203
C/C=C\C,Frag_86,-156.904187
C=CC=C,Frag_87,-155.706877
C/C(N)=C(\C)N,Frag_88,-267.490197
C=CC(=C)N,Frag_89,-211.001917
C/C=C(\C)N,Frag_90,-212.198638
C/C(O)=C(\C)O,Frag_91,-307.234908
C=CC(=C)O,Frag_92,-230.871870
C=C(N)C(=C)O,Frag_93,-286.165541
C/C=C(\C)O,Frag_94,-232.068867
C=C(N)O,Frag_95,-208.890270
CC(C)=C(C)N,Frag_96,-251.436046
COC(C)O,Frag_97,-269.175746
CN(N)CN,Frag_98,-245.440176
CC(C)C,Frag_99,-158.103942
CNC(C)C,Frag_100,-213.375042
CCNC,Frag_101,-174.138260
CCC(C)N,Frag_102,-213.385942
C/C=N\C,Frag_103,-172.950995
C=CN=C,Frag_104,-171.750662
C=C(C)C=N,Frag_105,-211.003635
C/C=C\N,Frag_106,-172.960006
C=C(N)OC,Frag_107,-248.109661
C=COC,Frag_108,-192.808776
C/C=C(/N)O,Frag_109,-248.126738
C/C=C\O,Frag_110,-192.830217
CC(C)N,Frag_111,-174.151901
C/C=C(/C)N,Frag_112,-212.201205
CCC(C)C,Frag_113,-197.337517
CC1CCC1,Frag_114,-196.134576
CN=[N+](C)[O-],Frag_115,-264.121967
C1CNC1,Frag_116,-172.935205
CC(C)(N)[N+](=O)[O-],Frag_117,-378.520118
CN(C)C=O,Frag_118,-248.142701
C1C2CC3CC2CC13,Frag_119,-311.477895
CNC(C)=O,Frag_120,-248.154020
CCC(N)=O,Frag_121,-248.164754
CC(N)=O,Frag_122,-208.930614
C=C(C)N(C)C,Frag_123,-251.413326
CC(=N)N,Frag_124,-189.035869
c1c[nH]cn1,Frag_125,-225.913730
C=C(N)[N+](=O)[O-],Frag_126,-338.089023
CCN(C)C,Frag_127,-213.366016
N=CN,Frag_128,-149.791793
N=C1NCCN1,Frag_129,-282.377189
C=N[N+](=O)[O-],Frag_130,-298.823750
C=N,Frag_131,-94.481134
CC(=O)NN,Frag_132,-264.174936
N=C(N)[N+](=O)[O-],Frag_133,-354.152458
c1cn[nH]c1,Frag_134,-225.899395
c1nnn[nH]1,Frag_135,-257.979726
CC(=N)N(C)N,Frag_136,-283.509407
CNN,Frag_137,-150.929065
C=C1NCCN1,Frag_138,-266.300375
CC(N)O,Frag_139,-210.080691
C12C3C4C1C1C2C3C41,Frag_140,-308.985329
c1nc[nH]n1,Frag_141,-241.959892
C=C(N)C#N,Frag_142,-225.879194
c1cnccn1,Frag_143,-263.961175
CC(=N)[N+](=O)[O-],Frag_144,-338.086773
C=C(N)N,Frag_145,-189.020765
C=C1CCCN1,Frag_146,-250.252962
C=C,Frag_147,-78.426771
C=NNC,Frag_148,-188.979869
CC(C)=NN,Frag_149,-228.234767
C=C(C)NN,Frag_150,-228.212355
C=NN,Frag_151,-149.751661
CC(C)(N)CO,Frag_152,-288.548303
CN(C)C(C)(C)C,Frag_153,-291.835448
[O-][n+]1ccccc1,Frag_154,-323.033895
C1=C\C=C/C=C\C=C/1,Frag_155,-309.087535
CC(C)C(=N)N,Frag_156,-267.504173
C1COC1,Frag_157,-192.805740
C=C(C)N(C)N,Frag_158,-267.439369
O=c1cccc[nH]1,Frag_159,-323.098623
COC(N)=O,Frag_160,-284.090542
CNC(=O)O,Frag_161,-284.089312
NC(=O)O,Frag_162,-244.874358
c1ccc2c(c1)CN2,Frag_163,-325.174119
CNC(=N)N,Frag_164,-244.318097
N=C1NCNCN1,Frag_165,-337.657224
C=C(C)C(C)=N,Frag_166,-250.244217
O=[N+]([O-])C1CC1,Frag_167,-322.024415
C/C=C/N,Frag_168,-172.959427
C=CN(C)C,Frag_169,-212.176311
C1Cn2nnnc2N1,Frag_170,-390.547385
N=C1CCCC1,Frag_171,-250.263967
C=NO,Frag_172,-169.604183
N=c1cccc[nH]1,Frag_173,-303.202665
CN(C)O,Frag_174,-210.016242
CN[N+](=O)[O-],Frag_175,-300.028991
CC(=N)NN,Frag_176,-244.282554
C1CN1,Frag_177,-133.697954
C=C(C)C1CN1,Frag_178,-250.210096
OCC1CN1,Frag_179,-248.090119
CC(C)=N,Frag_180,-172.969695
c1cn2c(n1)OCC2,Frag_181,-378.344779
NN=C(N)N,Frag_182,-260.352585
CN(N)C(=N)N,Frag_183,-299.576473
N=C(N)N,Frag_184,-205.096271
c1cn[nH]n1,Frag_185,-241.943290
NN(N)N,Frag_186,-222.219365
NNN,Frag_187,-166.959778
CC(=O)N=N,Frag_188,-262.966148
CN=[N+]=[N-],Frag_189,-203.850529
C=C1C=CC=CC1=O,Frag_190,-345.054670
C=CNC,Frag_191,-172.947027
CN(N)[N+](=O)[O-],Frag_192,-355.279783
O=C1NCCN1,Frag_193,-302.277877
C1=CC2CC1C1CC21,Frag_194,-310.266475
N#CC1(N)CC1,Frag_195,-265.102343
CC1([N+](=O)[O-])CC1,Frag_196,-361.264757
NC1CC1,Frag_197,-172.940585
CC1CC1,Frag_198,-156.895598
C1CC12CC2,Frag_199,-194.914790
C/N=N/N,Frag_200,-205.032240
CN(C)N=N,Frag_201,-244.259481
N=NN,Frag_202,-165.801212
CNC(C)=N,Frag_203,-228.256746
CN(N)C#N,Frag_204,-243.073915
CCOC,Frag_205,-194.003834
CC(N)CO,Frag_206,-249.303930
C/C(N)=C\N,Frag_207,-228.246691
NCCN,Frag_208,-190.192849
