Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.851547
C=C(C)OC,Frag_2,-232.029599
C=CC,Frag_3,-117.654393
C1=CCCC1,Frag_4,-194.945627
C=C(C)C#N,Frag_5,-209.807554
c1cc[nH]c1,Frag_6,-209.834786
C=C(C)N,Frag_7,-172.940689
C=CN,Frag_8,-133.703854
C=C(C)C(=C)C,Frag_9,-234.160004
c1ccncc1,Frag_10,-247.895800
C=C(C)C(=O)O,Frag_11,-306.046082
C=C(C)C(N)=O,Frag_12,-286.169690
C=C(C)C(C)=O,Frag_13,-270.099868
CC(=O)C(C)=O,Frag_14,-306.038376
CC(C)=O,Frag_15,-192.833728
C1CCCC1,Frag_16,-196.138836
CC(C)C#N,Frag_17,-211.002847
CCC,Frag_18,-118.853862
C1CC1,Frag_19,-117.645092
C=C(C)C1CC1,Frag_20,-234.145532
C=C(C)NC,Frag_21,-212.161045
CNC,Frag_22,-134.882363
COC,Frag_23,-154.747225
C=C(C)CC,Frag_24,-196.119389
NC(N)[N+](=O)[O-],Frag_25,-355.289713
NC(N)N,Frag_26,-206.213982
C1NCNCN1,Frag_27,-283.491734
CN(C)[N+](=O)[O-],Frag_28,-339.219738
CC[N+](=O)[O-],Frag_29,-283.962194
CCCN,Frag_30,-174.123212
CCN,Frag_31,-134.892739
CC(C)[N+](=O)[O-],Frag_32,-323.197143
CO[N+](=O)[O-],Frag_33,-319.845394
CCON,Frag_34,-209.984308
CCCO,Frag_35,-193.993289
CON,Frag_36,-170.751626
CCO,Frag_37,-154.762052
CC(C)ON,Frag_38,-249.223970
c1ccoc1,Frag_39,-229.691181
C=C(O)[N+](=O)[O-],Frag_40,-357.923099
C=CO,Frag_41,-153.569741
C1NCNCNCN1,Frag_42,-377.984083
CCCC,Frag_43,-158.083200
CC(C)(C)[N+](=O)[O-],Frag_44,-362.432445
CCN(C)N,Frag_45,-229.365310
CN(C)N,Frag_46,-190.126923
NC[N+](=O)[O-],Frag_47,-300.009110
NCN,Frag_48,-150.935261
CC(C)(C)CO,Frag_49,-272.459417
CC(C)(C)C,Frag_50,-197.319209
C1CCNCC1,Frag_51,-251.412568
CN(C)N=O,Frag_52,-264.097849
C=C(C)O,Frag_53,-192.812074
C=C(C)[N+](=O)[O-],Frag_54,-321.998347
C=C(C)C,Frag_55,-156.890744
C[N+](=O)[O-],Frag_56,-244.726457
C=C(C)CN,Frag_57,-212.158988
C=C[N+](=O)[O-],Frag_58,-282.758571
CC(O)CO,Frag_59,-269.135802
CC(C)O,Frag_60,-193.999259
CC(N)[N+](=O)[O-],Frag_61,-339.245935
CCC(N)N,Frag_62,-229.402786
CC(N)N,Frag_63,-190.171237
C1CCNC1,Frag_64,-212.173593
CC(N)C(=O)O,Frag_65,-323.279841
COC(C)=O,Frag_66,-267.994649
CC(=O)O,Frag_67,-228.769843
C1CCC1,Frag_68,-156.879532
CC(C)C(=O)O,Frag_69,-307.239458
C1OCOCO1,Frag_70,-343.101250
CC(O)O,Frag_71,-229.917277
OCO,Frag_72,-190.682028
CC(C)=C(C)C,Frag_73,-235.354710
C/N=[N+](/C)[O-],Frag_74,-264.091290
C=C(C)N=N,Frag_75,-227.000490
C=C(C)[N+](=N)[O-],Frag_76,-302.118416
C[N+](=N)[O-],Frag_77,-224.849004
CN=N,Frag_78,-149.721796
CC(=O)N(C)C,Frag_79,-287.350328
CN(C)C,Frag_80,-174.109771
C=CCC,Frag_81,-156.883837
CC=C(C)C,Frag_82,-196.123850
C=NC,Frag_83,-133.696894
CC=N,Frag_84,-133.709208
C=CC(=C)C,Frag_85,-194.921556
C/C=C\C,Frag_86,-156.888195
C=CC=C,Frag_87,-155.691726
C/C(N)=C(\C)N,Frag_88,-267.452310
C=CC(=C)N,Frag_89,-210.976066
C/C=C(\C)N,Frag_90,-212.171789
C/C(O)=C(\C)O,Frag_91,-307.195432
C=CC(=C)O,Frag_92,-230.845012
C=C(N)C(=C)O,Frag_93,-286.129647
C/C=C(\C)O,Frag_94,-232.040641
C=C(N)O,Frag_95,-208.859573
CC(C)=C(C)N,Frag_96,-251.404571
COC(C)O,Frag_97,-269.141401
CN(N)CN,Frag_98,-245.400962
CC(C)C,Frag_99,-158.086379
CNC(C)C,Frag_100,-213.348766
CCNC,Frag_101,-174.115566
CCC(C)N,Frag_102,-213.358099
C/C=N\C,Frag_103,-172.932173
C=CN=C,Frag_104,-171.733365
C=C(C)C=N,Frag_105,-210.979798
C/C=C\N,Frag_106,-172.936939
C=C(N)OC,Frag_107,-248.078325
C=COC,Frag_108,-192.787538
C/C=C(/N)O,Frag_109,-248.093249
C/C=C\O,Frag_110,-192.806711
CC(C)N,Frag_111,-174.127234
C/C=C(/C)N,Frag_112,-212.173845
CCC(C)C,Frag_113,-197.315682
CC1CCC1,Frag_114,-196.114354
CN=[N+](C)[O-],Frag_115,-264.091290
