Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.670365
C=C(C)OC,Frag_2,-231.846939
C=CC,Frag_3,-117.564349
C1=CCCC1,Frag_4,-194.793707
C=C(C)C#N,Frag_5,-209.638828
c1cc[nH]c1,Frag_6,-209.671280
C=C(C)N,Frag_7,-172.806769
C=CN,Frag_8,-133.600545
C=C(C)C(=C)C,Frag_9,-233.976996
c1ccncc1,Frag_10,-247.699082
C=C(C)C(=O)O,Frag_11,-305.800037
C=C(C)C(N)=O,Frag_12,-285.942673
C=C(C)C(C)=O,Frag_13,-269.884882
CC(=O)C(C)=O,Frag_14,-305.791316
CC(C)=O,Frag_15,-192.680693
C1CCCC1,Frag_16,-195.987115
CC(C)C#N,Frag_17,-210.834129
CCC,Frag_18,-118.764446
C1CC1,Frag_19,-117.556723
C=C(C)C1CC1,Frag_20,-233.964517
C=C(C)NC,Frag_21,-211.996898
CNC,Frag_22,-134.778577
COC,Frag_23,-154.625521
C=C(C)CC,Frag_24,-195.967762
NC(N)[N+](=O)[O-],Frag_25,-354.998361
NC(N)N,Frag_26,-206.049262
C1NCNCN1,Frag_27,-283.266479
CN(C)[N+](=O)[O-],Frag_28,-338.943903
CC[N+](=O)[O-],Frag_29,-283.730042
CCCN,Frag_30,-173.987904
CCN,Frag_31,-134.788176
CC(C)[N+](=O)[O-],Frag_32,-322.933605
CO[N+](=O)[O-],Frag_33,-319.580112
CCON,Frag_34,-209.814324
CCCO,Frag_35,-193.840601
CON,Frag_36,-170.613066
CCO,Frag_37,-154.640120
CC(C)ON,Frag_38,-249.023745
c1ccoc1,Frag_39,-229.508471
C=C(O)[N+](=O)[O-],Frag_40,-357.628220
C=CO,Frag_41,-153.448030
C1NCNCNCN1,Frag_42,-377.683684
CCCC,Frag_43,-157.962978
CC(C)(C)[N+](=O)[O-],Frag_44,-362.137314
CCN(C)N,Frag_45,-229.184047
CN(C)N,Frag_46,-189.975508
NC[N+](=O)[O-],Frag_47,-299.762550
NCN,Frag_48,-150.816395
CC(C)(C)CO,Frag_49,-272.243643
CC(C)(C)C,Frag_50,-197.166750
C1CCNCC1,Frag_51,-251.215985
CN(C)N=O,Frag_52,-263.883634
C=C(C)O,Frag_53,-192.659800
C=C(C)[N+](=O)[O-],Frag_54,-321.734939
C=C(C)C,Frag_55,-156.770017
C[N+](=O)[O-],Frag_56,-244.524946
C=C(C)CN,Frag_57,-211.992211
C=C[N+](=O)[O-],Frag_58,-282.525621
CC(O)CO,Frag_59,-268.920605
CC(C)O,Frag_60,-193.846107
CC(N)[N+](=O)[O-],Frag_61,-338.968355
CCC(N)N,Frag_62,-229.222216
CC(N)N,Frag_63,-190.021424
C1CCNC1,Frag_64,-212.006868
CC(N)C(=O)O,Frag_65,-323.019974
COC(C)=O,Frag_66,-267.780367
CC(=O)O,Frag_67,-228.585534
C1CCC1,Frag_68,-156.758991
CC(C)C(=O)O,Frag_69,-306.993484
C1OCOCO1,Frag_70,-342.823082
CC(O)O,Frag_71,-229.732572
OCO,Frag_72,-190.528157
CC(C)=C(C)C,Frag_73,-235.172944
C/N=[N+](/C)[O-],Frag_74,-263.876824
C=C(C)N=N,Frag_75,-226.816638
C=C(C)[N+](=N)[O-],Frag_76,-301.872146
C[N+](=N)[O-],Frag_77,-224.664846
CN=N,Frag_78,-149.598095
CC(=O)N(C)C,Frag_79,-287.124225
CN(C)C,Frag_80,-173.975057
C=CCC,Frag_81,-156.763112
CC=C(C)C,Frag_82,-195.972970
C=NC,Frag_83,-133.591404
CC=N,Frag_84,-133.604174
C=CC(=C)C,Frag_85,-194.769595
C/C=C\C,Frag_86,-156.768101
C=CC=C,Frag_87,-155.570504
C/C(N)=C(\C)N,Frag_88,-267.242734
C=CC(=C)N,Frag_89,-210.810856
C/C=C(\C)N,Frag_90,-212.007544
C/C(O)=C(\C)O,Frag_91,-306.950537
C=CC(=C)O,Frag_92,-230.661245
C=C(N)C(=C)O,Frag_93,-285.902096
C/C=C(\C)O,Frag_94,-231.858026
C=C(N)O,Frag_95,-208.693501
CC(C)=C(C)N,Frag_96,-251.209430
COC(C)O,Frag_97,-268.926298
CN(N)CN,Frag_98,-245.205499
CC(C)C,Frag_99,-157.965633
CNC(C)C,Frag_100,-213.183024
CCNC,Frag_101,-173.981276
CCC(C)N,Frag_102,-213.191630
C/C=N\C,Frag_103,-172.795454
C=CN=C,Frag_104,-171.597241
C=C(C)C=N,Frag_105,-210.812100
C/C=C\N,Frag_106,-172.803304
C=C(N)OC,Frag_107,-247.876960
C=COC,Frag_108,-192.635498
C/C=C(/N)O,Frag_109,-247.897318
C/C=C\O,Frag_110,-192.654396
CC(C)N,Frag_111,-173.991608
C/C=C(/C)N,Frag_112,-212.009614
CCC(C)C,Frag_113,-197.164041
CC1CCC1,Frag_114,-195.963004
CN=[N+](C)[O-],Frag_115,-263.876825
