Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.673423
C=C(C)OC,Frag_2,-231.850740
C=CC,Frag_3,-117.565841
C1=CCCC1,Frag_4,-194.797462
C=C(C)C#N,Frag_5,-209.641351
c1cc[nH]c1,Frag_6,-209.673396
C=C(C)N,Frag_7,-172.809378
C=CN,Frag_8,-133.601724
C=C(C)C(=C)C,Frag_9,-233.982544
c1ccncc1,Frag_10,-247.701770
C=C(C)C(=O)O,Frag_11,-305.803900
C=C(C)C(N)=O,Frag_12,-285.947014
C=C(C)C(C)=O,Frag_13,-269.889764
CC(=O)C(C)=O,Frag_14,-305.795410
CC(C)=O,Frag_15,-192.683176
C1CCCC1,Frag_16,-195.992101
CC(C)C#N,Frag_17,-210.837817
CCC,Frag_18,-118.766834
C1CC1,Frag_19,-117.558183
C=C(C)C1CC1,Frag_20,-233.969973
C=C(C)NC,Frag_21,-212.001103
CNC,Frag_22,-134.780464
COC,Frag_23,-154.627260
C=C(C)CC,Frag_24,-195.972602
NC(N)[N+](=O)[O-],Frag_25,-355.002192
NC(N)N,Frag_26,-206.052102
C1NCNCN1,Frag_27,-283.272084
CN(C)[N+](=O)[O-],Frag_28,-338.947832
CC[N+](=O)[O-],Frag_29,-283.732927
CCCN,Frag_30,-173.991737
CCN,Frag_31,-134.790234
CC(C)[N+](=O)[O-],Frag_32,-322.938582
CO[N+](=O)[O-],Frag_33,-319.581887
CCON,Frag_34,-209.817353
CCCO,Frag_35,-193.844074
CON,Frag_36,-170.614387
CCO,Frag_37,-154.641938
CC(C)ON,Frag_38,-249.028402
c1ccoc1,Frag_39,-229.510268
C=C(O)[N+](=O)[O-],Frag_40,-357.630566
C=CO,Frag_41,-153.448997
C1NCNCNCN1,Frag_42,-377.693463
CCCC,Frag_43,-157.967096
CC(C)(C)[N+](=O)[O-],Frag_44,-362.144894
CCN(C)N,Frag_45,-229.188933
CN(C)N,Frag_46,-189.978616
NC[N+](=O)[O-],Frag_47,-299.765130
NCN,Frag_48,-150.817994
CC(C)(C)CO,Frag_49,-272.251912
CC(C)(C)C,Frag_50,-197.173501
C1CCNCC1,Frag_51,-251.222749
CN(C)N=O,Frag_52,-263.886627
C=C(C)O,Frag_53,-192.662110
C=C(C)[N+](=O)[O-],Frag_54,-321.738384
C=C(C)C,Frag_55,-156.773058
C[N+](=O)[O-],Frag_56,-244.526312
C=C(C)CN,Frag_57,-211.996761
C=C[N+](=O)[O-],Frag_58,-282.527430
CC(O)CO,Frag_59,-268.925124
CC(C)O,Frag_60,-193.849695
CC(N)[N+](=O)[O-],Frag_61,-338.972856
CCC(N)N,Frag_62,-229.227286
CC(N)N,Frag_63,-190.024749
C1CCNC1,Frag_64,-212.011292
CC(N)C(=O)O,Frag_65,-323.024602
COC(C)=O,Frag_66,-267.783391
CC(=O)O,Frag_67,-228.587245
C1CCC1,Frag_68,-156.762119
CC(C)C(=O)O,Frag_69,-306.998831
C1OCOCO1,Frag_70,-342.827132
CC(O)O,Frag_71,-229.735308
OCO,Frag_72,-190.529352
CC(C)=C(C)C,Frag_73,-235.179378
C/N=[N+](/C)[O-],Frag_74,-263.879618
C=C(C)N=N,Frag_75,-226.819487
C=C(C)[N+](=N)[O-],Frag_76,-301.875964
C[N+](=N)[O-],Frag_77,-224.666508
CN=N,Frag_78,-149.598943
CC(=O)N(C)C,Frag_79,-287.129491
CN(C)C,Frag_80,-173.978690
C=CCC,Frag_81,-156.766041
CC=C(C)C,Frag_82,-195.977422
C=NC,Frag_83,-133.592500
CC=N,Frag_84,-133.605321
C=CC(=C)C,Frag_85,-194.773275
C/C=C\C,Frag_86,-156.770909
C=CC=C,Frag_87,-155.572495
C/C(N)=C(\C)N,Frag_88,-267.248171
C=CC(=C)N,Frag_89,-210.814101
C/C=C(\C)N,Frag_90,-212.011552
C/C(O)=C(\C)O,Frag_91,-306.955120
C=CC(=C)O,Frag_92,-230.664133
C=C(N)C(=C)O,Frag_93,-285.906301
C/C=C(\C)O,Frag_94,-231.861739
C=C(N)O,Frag_95,-208.695444
CC(C)=C(C)N,Frag_96,-251.215418
COC(C)O,Frag_97,-268.930556
CN(N)CN,Frag_98,-245.209790
CC(C)C,Frag_99,-157.969963
CNC(C)C,Frag_100,-213.188549
CCNC,Frag_101,-173.984544
CCC(C)N,Frag_102,-213.197284
C/C=N\C,Frag_103,-172.799017
C=CN=C,Frag_104,-171.599013
C=C(C)C=N,Frag_105,-210.815572
C/C=C\N,Frag_106,-172.805838
C=C(N)OC,Frag_107,-247.885812
C=COC,Frag_108,-192.637596
C/C=C(/N)O,Frag_109,-247.900597
C/C=C\O,Frag_110,-192.656667
CC(C)N,Frag_111,-173.995485
C/C=C(/C)N,Frag_112,-212.013683
CCC(C)C,Frag_113,-197.170213
CC1CCC1,Frag_114,-195.967915
CN=[N+](C)[O-],Frag_115,-263.879618
