Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.919207
C=C(C)OC,Frag_2,-232.112115
C=CC,Frag_3,-117.695838
C1=CCCC1,Frag_4,-195.006425
C=C(C)C#N,Frag_5,-209.874772
c1cc[nH]c1,Frag_6,-209.899746
C=C(C)N,Frag_7,-173.003433
C=CN,Frag_8,-133.753928
C=C(C)C(=C)C,Frag_9,-234.236273
c1ccncc1,Frag_10,-247.968755
C=C(C)C(=O)O,Frag_11,-306.151688
C=C(C)C(N)=O,Frag_12,-286.268700
C=C(C)C(C)=O,Frag_13,-270.189691
CC(=O)C(C)=O,Frag_14,-306.142627
CC(C)=O,Frag_15,-192.902849
C1CCCC1,Frag_16,-196.202881
CC(C)C#N,Frag_17,-211.072709
CCC,Frag_18,-118.897508
C1CC1,Frag_19,-117.686296
C=C(C)C1CC1,Frag_20,-234.221405
C=C(C)NC,Frag_21,-212.234603
CNC,Frag_22,-134.933456
COC,Frag_23,-154.807656
C=C(C)CC,Frag_24,-196.185728
NC(N)[N+](=O)[O-],Frag_25,-355.418530
NC(N)N,Frag_26,-206.295141
C1NCNCN1,Frag_27,-283.587714
CN(C)[N+](=O)[O-],Frag_28,-339.337542
CC[N+](=O)[O-],Frag_29,-284.063281
CCCN,Frag_30,-174.187286
CCN,Frag_31,-134.944830
CC(C)[N+](=O)[O-],Frag_32,-323.310266
CO[N+](=O)[O-],Frag_33,-319.960508
CCON,Frag_34,-210.063538
CCCO,Frag_35,-194.067050
CON,Frag_36,-170.819336
CCO,Frag_37,-154.824465
CC(C)ON,Frag_38,-249.315599
c1ccoc1,Frag_39,-229.764310
C=C(O)[N+](=O)[O-],Frag_40,-358.047425
C=CO,Frag_41,-153.628954
C1NCNCNCN1,Frag_42,-378.110631
CCCC,Frag_43,-158.139072
CC(C)(C)[N+](=O)[O-],Frag_44,-362.556625
CCN(C)N,Frag_45,-229.446587
CN(C)N,Frag_46,-190.196674
NC[N+](=O)[O-],Frag_47,-300.118181
NCN,Frag_48,-150.996531
CC(C)(C)CO,Frag_49,-272.557314
CC(C)(C)C,Frag_50,-197.387783
C1CCNCC1,Frag_51,-251.494028
CN(C)N=O,Frag_52,-264.187151
C=C(C)O,Frag_53,-192.883042
C=C(C)[N+](=O)[O-],Frag_54,-322.108153
C=C(C)C,Frag_55,-156.944732
C[N+](=O)[O-],Frag_56,-244.816462
C=C(C)CN,Frag_57,-212.233467
C=C[N+](=O)[O-],Frag_58,-282.856983
CC(O)CO,Frag_59,-269.240850
CC(C)O,Frag_60,-194.073108
CC(N)[N+](=O)[O-],Frag_61,-339.366575
CCC(N)N,Frag_62,-229.487445
CC(N)N,Frag_63,-190.244682
C1CCNC1,Frag_64,-212.244069
CC(N)C(=O)O,Frag_65,-323.397474
COC(C)=O,Frag_66,-268.092076
CC(=O)O,Frag_67,-228.856121
C1CCC1,Frag_68,-156.930437
CC(C)C(=O)O,Frag_69,-307.348763
C1OCOCO1,Frag_70,-343.225618
CC(O)O,Frag_71,-230.009122
OCO,Frag_72,-190.762611
CC(C)=C(C)C,Frag_73,-235.433171
C/N=[N+](/C)[O-],Frag_74,-264.182936
C=C(C)N=N,Frag_75,-227.075225
C=C(C)[N+](=N)[O-],Frag_76,-302.221258
C[N+](=N)[O-],Frag_77,-224.931440
CN=N,Frag_78,-149.773603
CC(=O)N(C)C,Frag_79,-287.450202
CN(C)C,Frag_80,-174.171794
C=CCC,Frag_81,-156.937768
CC=C(C)C,Frag_82,-196.189927
C=NC,Frag_83,-133.743847
CC=N,Frag_84,-133.757787
C=CC(=C)C,Frag_85,-194.985472
C/C=C\C,Frag_86,-156.941821
C=CC=C,Frag_87,-155.742933
C/C(N)=C(\C)N,Frag_88,-267.547304
C=CC(=C)N,Frag_89,-211.048106
C/C=C(\C)N,Frag_90,-212.246308
C/C(O)=C(\C)O,Frag_91,-307.307490
C=CC(=C)O,Frag_92,-230.925396
C=C(N)C(=C)O,Frag_93,-286.229599
C/C=C(\C)O,Frag_94,-232.123943
C=C(N)O,Frag_95,-208.938938
CC(C)=C(C)N,Frag_96,-251.491584
COC(C)O,Frag_97,-269.243083
CN(N)CN,Frag_98,-245.492014
CC(C)C,Frag_99,-158.142305
CNC(C)C,Frag_100,-213.424024
CCNC,Frag_101,-174.179052
CCC(C)N,Frag_102,-213.433884
C/C=N\C,Frag_103,-172.991618
C=CN=C,Frag_104,-171.790174
C=C(C)C=N,Frag_105,-211.050096
C/C=C\N,Frag_106,-172.999272
C=C(N)OC,Frag_107,-248.169193
C=COC,Frag_108,-192.857780
C/C=C(/N)O,Frag_109,-248.184103
C/C=C\O,Frag_110,-192.876848
CC(C)N,Frag_111,-174.191508
C/C=C(/C)N,Frag_112,-212.248834
CCC(C)C,Frag_113,-197.383900
CC1CCC1,Frag_114,-196.177386
CN=[N+](C)[O-],Frag_115,-264.182936
