Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.112366
C=C(C)OC,Frag_2,-232.300450
C=CC,Frag_3,-117.811697
C1=CCCC1,Frag_4,-195.189111
C=C(C)C#N,Frag_5,-210.040593
c1cc[nH]c1,Frag_6,-210.061801
C=C(C)N,Frag_7,-173.153254
C=CN,Frag_8,-133.864255
C=C(C)C(=C)C,Frag_9,-234.455202
c1ccncc1,Frag_10,-248.157726
C=C(C)C(=O)O,Frag_11,-306.364914
C=C(C)C(N)=O,Frag_12,-286.481343
C=C(C)C(C)=O,Frag_13,-270.406972
CC(=O)C(C)=O,Frag_14,-306.356934
CC(C)=O,Frag_15,-193.054423
C1CCCC1,Frag_16,-196.399902
CC(C)C#N,Frag_17,-211.254994
CCC,Frag_18,-119.028075
C1CC1,Frag_19,-117.801653
C=C(C)C1CC1,Frag_20,-234.441305
C=C(C)NC,Frag_21,-212.424060
CNC,Frag_22,-135.058956
COC,Frag_23,-154.931450
C=C(C)CC,Frag_24,-196.381036
NC(N)[N+](=O)[O-],Frag_25,-355.615956
NC(N)N,Frag_26,-206.452414
C1NCNCN1,Frag_27,-283.813516
CN(C)[N+](=O)[O-],Frag_28,-339.536060
CC[N+](=O)[O-],Frag_29,-284.228774
CCCN,Frag_30,-174.353438
CCN,Frag_31,-135.070787
CC(C)[N+](=O)[O-],Frag_32,-323.516617
CO[N+](=O)[O-],Frag_33,-320.113125
CCON,Frag_34,-210.219713
CCCO,Frag_35,-194.232509
CON,Frag_36,-170.936945
CCO,Frag_37,-154.949421
CC(C)ON,Frag_38,-249.513207
c1ccoc1,Frag_39,-229.925140
C=C(O)[N+](=O)[O-],Frag_40,-358.229760
C=CO,Frag_41,-153.738796
C1NCNCNCN1,Frag_42,-378.413387
CCCC,Frag_43,-158.309621
CC(C)(C)[N+](=O)[O-],Frag_44,-362.804071
CCN(C)N,Frag_45,-229.646865
CN(C)N,Frag_46,-190.356145
NC[N+](=O)[O-],Frag_47,-300.279335
NCN,Frag_48,-151.117817
CC(C)(C)CO,Frag_49,-272.804162
CC(C)(C)C,Frag_50,-197.598923
C1CCNCC1,Frag_51,-251.728562
CN(C)N=O,Frag_52,-264.358961
C=C(C)O,Frag_53,-193.032847
C=C(C)[N+](=O)[O-],Frag_54,-322.297974
C=C(C)C,Frag_55,-157.099828
C[N+](=O)[O-],Frag_56,-244.942902
C=C(C)CN,Frag_57,-212.424102
C=C[N+](=O)[O-],Frag_58,-283.007597
CC(O)CO,Frag_59,-269.441199
CC(C)O,Frag_60,-194.238532
CC(N)[N+](=O)[O-],Frag_61,-339.568316
CCC(N)N,Frag_62,-229.689659
CC(N)N,Frag_63,-190.406331
C1CCNC1,Frag_64,-212.436905
CC(N)C(=O)O,Frag_65,-323.621435
COC(C)=O,Frag_66,-268.278188
CC(=O)O,Frag_67,-229.002428
C1CCC1,Frag_68,-157.087955
CC(C)C(=O)O,Frag_69,-307.577216
C1OCOCO1,Frag_70,-343.446032
CC(O)O,Frag_71,-230.169649
OCO,Frag_72,-190.883010
CC(C)=C(C)C,Frag_73,-235.666054
C/N=[N+](/C)[O-],Frag_74,-264.349854
C=C(C)N=N,Frag_75,-227.243335
C=C(C)[N+](=N)[O-],Frag_76,-302.410542
C[N+](=N)[O-],Frag_77,-225.056431
CN=N,Frag_78,-149.876465
CC(=O)N(C)C,Frag_79,-287.676117
CN(C)C,Frag_80,-174.337014
C=CCC,Frag_81,-157.093552
CC=C(C)C,Frag_82,-196.383967
C=NC,Frag_83,-133.854684
CC=N,Frag_84,-133.868951
C=CC(=C)C,Frag_85,-195.165674
C/C=C\C,Frag_86,-157.096452
C=CC=C,Frag_87,-155.882326
C/C(N)=C(\C)N,Frag_88,-267.770672
C=CC(=C)N,Frag_89,-211.221813
C/C=C(\C)N,Frag_90,-212.435074
C/C(O)=C(\C)O,Frag_91,-307.530092
C=CC(=C)O,Frag_92,-231.098107
C=C(N)C(=C)O,Frag_93,-286.438592
C/C=C(\C)O,Frag_94,-232.312107
C=C(N)O,Frag_95,-209.084340
CC(C)=C(C)N,Frag_96,-251.719364
COC(C)O,Frag_97,-269.442827
CN(N)CN,Frag_98,-245.686849
CC(C)C,Frag_99,-158.313019
CNC(C)C,Frag_100,-213.630072
CCNC,Frag_101,-174.344306
CCC(C)N,Frag_102,-213.640550
C/C=N\C,Frag_103,-173.140634
C=CN=C,Frag_104,-171.925745
C=C(C)C=N,Frag_105,-211.224922
C/C=C\N,Frag_106,-173.148422
C=C(N)OC,Frag_107,-248.353698
C=COC,Frag_108,-193.006022
C/C=C(/N)O,Frag_109,-248.368556
C/C=C\O,Frag_110,-193.026014
CC(C)N,Frag_111,-174.357708
C/C=C(/C)N,Frag_112,-212.437482
CCC(C)C,Frag_113,-197.594714
CC1CCC1,Frag_114,-196.375024
CN=[N+](C)[O-],Frag_115,-264.349854
