Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.073721
C=C(C)OC,Frag_2,-232.250751
C=CC,Frag_3,-117.785246
C1=CCCC1,Frag_4,-195.151897
C=C(C)C#N,Frag_5,-210.000417
c1cc[nH]c1,Frag_6,-210.025024
C=C(C)N,Frag_7,-173.114812
C=CN,Frag_8,-133.833868
C=C(C)C(=C)C,Frag_9,-234.407697
c1ccncc1,Frag_10,-248.117302
C=C(C)C(=O)O,Frag_11,-306.302604
C=C(C)C(N)=O,Frag_12,-286.422062
C=C(C)C(C)=O,Frag_13,-270.352517
CC(=O)C(C)=O,Frag_14,-306.295613
CC(C)=O,Frag_15,-193.012779
C1CCCC1,Frag_16,-196.359652
CC(C)C#N,Frag_17,-211.211765
CCC,Frag_18,-118.998664
C1CC1,Frag_19,-117.775624
C=C(C)C1CC1,Frag_20,-234.394103
C=C(C)NC,Frag_21,-212.378606
CNC,Frag_22,-135.026910
COC,Frag_23,-154.895108
C=C(C)CC,Frag_24,-196.338273
NC(N)[N+](=O)[O-],Frag_25,-355.543705
NC(N)N,Frag_26,-206.403891
C1NCNCN1,Frag_27,-283.756462
CN(C)[N+](=O)[O-],Frag_28,-339.470266
CC[N+](=O)[O-],Frag_29,-284.172351
CCCN,Frag_30,-174.312338
CCN,Frag_31,-135.037722
CC(C)[N+](=O)[O-],Frag_32,-323.451676
CO[N+](=O)[O-],Frag_33,-320.051144
CCON,Frag_34,-210.172569
CCCO,Frag_35,-194.186594
CON,Frag_36,-170.897522
CCO,Frag_37,-154.911390
CC(C)ON,Frag_38,-249.457285
c1ccoc1,Frag_39,-229.884324
C=C(O)[N+](=O)[O-],Frag_40,-358.161769
C=CO,Frag_41,-153.704146
C1NCNCNCN1,Frag_42,-378.337311
CCCC,Frag_43,-158.272166
CC(C)(C)[N+](=O)[O-],Frag_44,-362.731086
CCN(C)N,Frag_45,-229.595842
CN(C)N,Frag_46,-190.313166
NC[N+](=O)[O-],Frag_47,-300.219060
NCN,Frag_48,-151.080764
CC(C)(C)CO,Frag_49,-272.741301
CC(C)(C)C,Frag_50,-197.552899
C1CCNCC1,Frag_51,-251.677735
CN(C)N=O,Frag_52,-264.306992
C=C(C)O,Frag_53,-192.990347
C=C(C)[N+](=O)[O-],Frag_54,-322.236909
C=C(C)C,Frag_55,-157.065280
C[N+](=O)[O-],Frag_56,-244.893122
C=C(C)CN,Frag_57,-212.377867
C=C[N+](=O)[O-],Frag_58,-282.954334
CC(O)CO,Frag_59,-269.378148
CC(C)O,Frag_60,-194.192340
CC(N)[N+](=O)[O-],Frag_61,-339.499865
CCC(N)N,Frag_62,-229.636601
CC(N)N,Frag_63,-190.360928
C1CCNC1,Frag_64,-212.393750
CC(N)C(=O)O,Frag_65,-323.551776
COC(C)=O,Frag_66,-268.220961
CC(=O)O,Frag_67,-228.952918
C1CCC1,Frag_68,-157.055438
CC(C)C(=O)O,Frag_69,-307.511169
C1OCOCO1,Frag_70,-343.375991
CC(O)O,Frag_71,-230.115151
OCO,Frag_72,-190.836477
CC(C)=C(C)C,Frag_73,-235.615497
C/N=[N+](/C)[O-],Frag_74,-264.297795
C=C(C)N=N,Frag_75,-227.200181
C=C(C)[N+](=N)[O-],Frag_76,-302.353175
C[N+](=N)[O-],Frag_77,-225.011534
CN=N,Frag_78,-149.847457
CC(=O)N(C)C,Frag_79,-287.615544
CN(C)C,Frag_80,-174.297373
C=CCC,Frag_81,-157.058941
CC=C(C)C,Frag_82,-196.341637
C=NC,Frag_83,-133.826495
CC=N,Frag_84,-133.839749
C=CC(=C)C,Frag_85,-195.125965
C/C=C\C,Frag_86,-157.062139
C=CC=C,Frag_87,-155.850730
C/C(N)=C(\C)N,Frag_88,-267.712809
C=CC(=C)N,Frag_89,-211.178582
C/C=C(\C)N,Frag_90,-212.388983
C/C(O)=C(\C)O,Frag_91,-307.463686
C=CC(=C)O,Frag_92,-231.050870
C=C(N)C(=C)O,Frag_93,-286.379777
C/C=C(\C)O,Frag_94,-232.261706
C=C(N)O,Frag_95,-209.037952
CC(C)=C(C)N,Frag_96,-251.664691
COC(C)O,Frag_97,-269.381503
CN(N)CN,Frag_98,-245.632182
CC(C)C,Frag_99,-158.275459
CNC(C)C,Frag_100,-213.581548
CCNC,Frag_101,-174.304100
CCC(C)N,Frag_102,-213.591470
C/C=N\C,Frag_103,-173.104236
C=CN=C,Frag_104,-171.892278
C=C(C)C=N,Frag_105,-211.182868
C/C=C\N,Frag_106,-173.110052
C=C(N)OC,Frag_107,-248.300134
C=COC,Frag_108,-192.964384
C/C=C(/N)O,Frag_109,-248.314720
C/C=C\O,Frag_110,-192.983817
CC(C)N,Frag_111,-174.316424
C/C=C(/C)N,Frag_112,-212.391043
CCC(C)C,Frag_113,-197.549080
CC1CCC1,Frag_114,-196.334603
CN=[N+](C)[O-],Frag_115,-264.297795
