Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.894594
C=C(C)OC,Frag_2,-232.071080
C=CC,Frag_3,-117.696328
C1=CCCC1,Frag_4,-195.003342
C=C(C)C#N,Frag_5,-209.832562
c1cc[nH]c1,Frag_6,-209.862710
C=C(C)N,Frag_7,-172.982629
C=CN,Frag_8,-133.730836
C=C(C)C(=C)C,Frag_9,-234.229618
c1ccncc1,Frag_10,-247.921640
C=C(C)C(=O)O,Frag_11,-306.058362
C=C(C)C(N)=O,Frag_12,-286.197418
C=C(C)C(C)=O,Frag_13,-270.140782
CC(=O)C(C)=O,Frag_14,-306.049856
CC(C)=O,Frag_15,-192.860868
C1CCCC1,Frag_16,-196.212821
CC(C)C#N,Frag_17,-211.045399
CCC,Frag_18,-118.911634
C1CC1,Frag_19,-117.688832
C=C(C)C1CC1,Frag_20,-234.218243
C=C(C)NC,Frag_21,-212.217845
CNC,Frag_22,-134.924675
COC,Frag_23,-154.774921
C=C(C)CC,Frag_24,-196.191126
NC(N)[N+](=O)[O-],Frag_25,-355.252659
NC(N)N,Frag_26,-206.240979
C1NCNCN1,Frag_27,-283.535888
CN(C)[N+](=O)[O-],Frag_28,-339.195277
CC[N+](=O)[O-],Frag_29,-283.940199
CCCN,Frag_30,-174.180446
CCN,Frag_31,-134.934847
CC(C)[N+](=O)[O-],Frag_32,-323.190447
CO[N+](=O)[O-],Frag_33,-319.784574
CCON,Frag_34,-210.004895
CCCO,Frag_35,-194.036762
CON,Frag_36,-170.759597
CCO,Frag_37,-154.790641
CC(C)ON,Frag_38,-249.261030
c1ccoc1,Frag_39,-229.702374
C=C(O)[N+](=O)[O-],Frag_40,-357.865486
C=CO,Frag_41,-153.582255
C1NCNCNCN1,Frag_42,-378.045612
CCCC,Frag_43,-158.155980
CC(C)(C)[N+](=O)[O-],Frag_44,-362.440786
CCN(C)N,Frag_45,-229.419044
CN(C)N,Frag_46,-190.164386
NC[N+](=O)[O-],Frag_47,-299.971926
NCN,Frag_48,-150.962726
CC(C)(C)CO,Frag_49,-272.533091
CC(C)(C)C,Frag_50,-197.407191
C1CCNCC1,Frag_51,-251.487354
CN(C)N=O,Frag_52,-264.094386
C=C(C)O,Frag_53,-192.839237
C=C(C)[N+](=O)[O-],Frag_54,-321.973736
C=C(C)C,Frag_55,-156.947276
C[N+](=O)[O-],Frag_56,-244.690298
C=C(C)CN,Frag_57,-212.214902
C=C[N+](=O)[O-],Frag_58,-282.719985
CC(O)CO,Frag_59,-269.166210
CC(C)O,Frag_60,-194.042226
CC(N)[N+](=O)[O-],Frag_61,-339.223720
CCC(N)N,Frag_62,-229.460321
CC(N)N,Frag_63,-190.213686
C1CCNC1,Frag_64,-212.231157
CC(N)C(=O)O,Frag_65,-323.294248
COC(C)=O,Frag_66,-268.008228
CC(=O)O,Frag_67,-228.768396
C1CCC1,Frag_68,-156.938040
CC(C)C(=O)O,Frag_69,-307.268746
C1OCOCO1,Frag_70,-343.101184
CC(O)O,Frag_71,-229.932027
OCO,Frag_72,-190.682611
CC(C)=C(C)C,Frag_73,-235.439664
C/N=[N+](/C)[O-],Frag_74,-264.083965
C=C(C)N=N,Frag_75,-227.017335
C=C(C)[N+](=N)[O-],Frag_76,-302.107965
C[N+](=N)[O-],Frag_77,-224.826652
CN=N,Frag_78,-149.723033
CC(=O)N(C)C,Frag_79,-287.393161
CN(C)C,Frag_80,-174.166091
C=CCC,Frag_81,-156.940731
CC=C(C)C,Frag_82,-196.194814
C=NC,Frag_83,-133.721172
CC=N,Frag_84,-133.734829
C=CC(=C)C,Frag_85,-194.976995
C/C=C\C,Frag_86,-156.944455
C=CC=C,Frag_87,-155.730765
C/C(N)=C(\C)N,Frag_88,-267.507032
C=CC(=C)N,Frag_89,-211.015107
C/C=C(\C)N,Frag_90,-212.227802
C/C(O)=C(\C)O,Frag_91,-307.221531
C=CC(=C)O,Frag_92,-230.868444
C=C(N)C(=C)O,Frag_93,-286.154427
C/C=C(\C)O,Frag_94,-232.081679
C=C(N)O,Frag_95,-208.872210
CC(C)=C(C)N,Frag_96,-251.474728
COC(C)O,Frag_97,-269.169896
CN(N)CN,Frag_98,-245.440031
CC(C)C,Frag_99,-158.159008
CNC(C)C,Frag_100,-213.421082
CCNC,Frag_101,-174.172690
CCC(C)N,Frag_102,-213.430270
C/C=N\C,Frag_103,-172.970414
C=CN=C,Frag_104,-171.756346
C=C(C)C=N,Frag_105,-211.017238
C/C=C\N,Frag_106,-172.977971
C=C(N)OC,Frag_107,-248.106406
C=COC,Frag_108,-192.813698
C/C=C(/N)O,Frag_109,-248.120556
C/C=C\O,Frag_110,-192.832728
CC(C)N,Frag_111,-174.184321
C/C=C(/C)N,Frag_112,-212.230077
CCC(C)C,Frag_113,-197.403516
CC1CCC1,Frag_114,-196.188126
CN=[N+](C)[O-],Frag_115,-264.083965
