Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.139997
C=C(C)OC,Frag_2,-232.330526
C=CC,Frag_3,-117.824956
C1=CCCC1,Frag_4,-195.210370
C=C(C)C#N,Frag_5,-210.066150
c1cc[nH]c1,Frag_6,-210.088480
C=C(C)N,Frag_7,-173.174620
C=CN,Frag_8,-133.881719
C=C(C)C(=C)C,Frag_9,-234.481172
c1ccncc1,Frag_10,-248.188736
C=C(C)C(=O)O,Frag_11,-306.404923
C=C(C)C(N)=O,Frag_12,-286.517828
C=C(C)C(C)=O,Frag_13,-270.439543
CC(=O)C(C)=O,Frag_14,-306.397114
CC(C)=O,Frag_15,-193.079399
C1CCCC1,Frag_16,-196.419566
CC(C)C#N,Frag_17,-211.279165
CCC,Frag_18,-119.039702
C1CC1,Frag_19,-117.814907
C=C(C)C1CC1,Frag_20,-234.467104
C=C(C)NC,Frag_21,-212.448864
CNC,Frag_22,-135.074840
COC,Frag_23,-154.952940
C=C(C)CC,Frag_24,-196.401740
NC(N)[N+](=O)[O-],Frag_25,-355.668076
NC(N)N,Frag_26,-206.479495
C1NCNCN1,Frag_27,-283.847299
CN(C)[N+](=O)[O-],Frag_28,-339.584657
CC[N+](=O)[O-],Frag_29,-284.270531
CCCN,Frag_30,-174.372586
CCN,Frag_31,-135.086487
CC(C)[N+](=O)[O-],Frag_32,-323.561723
CO[N+](=O)[O-],Frag_33,-320.164382
CCON,Frag_34,-210.247974
CCCO,Frag_35,-194.256338
CON,Frag_36,-170.961329
CCO,Frag_37,-154.970152
CC(C)ON,Frag_38,-249.544210
c1ccoc1,Frag_39,-229.956532
C=C(O)[N+](=O)[O-],Frag_40,-358.284560
C=CO,Frag_41,-153.761078
C1NCNCNCN1,Frag_42,-378.457452
CCCC,Frag_43,-158.324888
CC(C)(C)[N+](=O)[O-],Frag_44,-362.851625
CCN(C)N,Frag_45,-229.672555
CN(C)N,Frag_46,-190.378828
NC[N+](=O)[O-],Frag_47,-300.324836
NCN,Frag_48,-151.137699
CC(C)(C)CO,Frag_49,-272.834346
CC(C)(C)C,Frag_50,-197.617558
C1CCNCC1,Frag_51,-251.755296
CN(C)N=O,Frag_52,-264.394722
C=C(C)O,Frag_53,-193.058364
C=C(C)[N+](=O)[O-],Frag_54,-322.344714
C=C(C)C,Frag_55,-157.116929
C[N+](=O)[O-],Frag_56,-244.981925
C=C(C)CN,Frag_57,-212.448652
C=C[N+](=O)[O-],Frag_58,-283.051061
CC(O)CO,Frag_59,-269.477598
CC(C)O,Frag_60,-194.262408
CC(N)[N+](=O)[O-],Frag_61,-339.616854
CCC(N)N,Frag_62,-229.716004
CC(N)N,Frag_63,-190.429640
C1CCNC1,Frag_64,-212.460652
CC(N)C(=O)O,Frag_65,-323.664489
COC(C)=O,Frag_66,-268.315357
CC(=O)O,Frag_67,-229.036120
C1CCC1,Frag_68,-157.103867
CC(C)C(=O)O,Frag_69,-307.616360
C1OCOCO1,Frag_70,-343.496730
CC(O)O,Frag_71,-230.202109
OCO,Frag_72,-190.912332
CC(C)=C(C)C,Frag_73,-235.690163
C/N=[N+](/C)[O-],Frag_74,-264.386670
C=C(C)N=N,Frag_75,-227.272308
C=C(C)[N+](=N)[O-],Frag_76,-302.453544
C[N+](=N)[O-],Frag_77,-225.091588
CN=N,Frag_78,-149.897166
CC(=O)N(C)C,Frag_79,-287.711460
CN(C)C,Frag_80,-174.356188
C=CCC,Frag_81,-157.110510
CC=C(C)C,Frag_82,-196.404744
C=NC,Frag_83,-133.871511
CC=N,Frag_84,-133.886035
C=CC(=C)C,Frag_85,-195.187729
C/C=C\C,Frag_86,-157.113487
C=CC=C,Frag_87,-155.900714
C/C(N)=C(\C)N,Frag_88,-267.802875
C=CC(=C)N,Frag_89,-211.247868
C/C=C(\C)N,Frag_90,-212.460044
C/C(O)=C(\C)O,Frag_91,-307.571400
C=CC(=C)O,Frag_92,-231.128747
C=C(N)C(=C)O,Frag_93,-286.476004
C/C=C(\C)O,Frag_94,-232.341783
C=C(N)O,Frag_95,-209.113715
CC(C)=C(C)N,Frag_96,-251.747962
COC(C)O,Frag_97,-269.478842
CN(N)CN,Frag_98,-245.717691
CC(C)C,Frag_99,-158.328237
CNC(C)C,Frag_100,-213.652725
CCNC,Frag_101,-174.363831
CCC(C)N,Frag_102,-213.662886
C/C=N\C,Frag_103,-173.161500
C=CN=C,Frag_104,-171.947518
C=C(C)C=N,Frag_105,-211.250675
C/C=C\N,Frag_106,-173.169682
C=C(N)OC,Frag_107,-248.387681
C=COC,Frag_108,-193.032692
C/C=C(/N)O,Frag_109,-248.401504
C/C=C\O,Frag_110,-193.051329
CC(C)N,Frag_111,-174.376898
C/C=C(/C)N,Frag_112,-212.462595
CCC(C)C,Frag_113,-197.613582
CC1CCC1,Frag_114,-196.394586
CN=[N+](C)[O-],Frag_115,-264.386670
